orig,new,sentence
microdefect:0:inclusion:1:line:0:defect,microdefects:0:inclusion:1:line:0:defect,The fullwidth at halfmaximum FWHM of a 4 emsp14 4 emsp14 0 rocking curve measured from the original crystal was  sim 167 emsp14 arcsec and imperfections including line defects inclusions and other microdefects were observed in the diffraction images of the crystal
microdefect:0:inclusion,microdefects:0:inclusion,The fullwidth at halfmaximum FWHM of a 4 emsp14 4 emsp14 0 rocking curve measured from the original crystal was  sim 167 emsp14 arcsec and imperfections including line defects inclusions and other microdefects were observed in the diffraction images of the crystal
microdefect,microdefects,The fullwidth at halfmaximum FWHM of a 4 emsp14 4 emsp14 0 rocking curve measured from the original crystal was  sim 167 emsp14 arcsec and imperfections including line defects inclusions and other microdefects were observed in the diffraction images of the crystal
.:3:middot:0:br:1:middot:2:title:0:compound:2:oxoanion:0:incorporate:1:molecular:0:salt,.:3:middot:0:br:1:middot:2:title:0:compound:2:oxoanions:0:incorporate:1:molecular:0:salt,The title compound C6H9N22 middot ReOH2OBr4 middot Br is a molecular salt incorporating rheniumVcontaining oxoanions
middot:0:br:1:middot:2:title:0:compound:2:oxoanion:0:incorporate:1:molecular:0:salt,middot:0:br:1:middot:2:title:0:compound:2:oxoanions:0:incorporate:1:molecular:0:salt,The title compound C6H9N22 middot ReOH2OBr4 middot Br is a molecular salt incorporating rheniumVcontaining oxoanions
oxoanion:0:incorporate:1:molecular:0:salt,oxoanions:0:incorporate:1:molecular:0:salt,The title compound C6H9N22 middot ReOH2OBr4 middot Br is a molecular salt incorporating rheniumVcontaining oxoanions
oxoanion,oxoanions,The title compound C6H9N22 middot ReOH2OBr4 middot Br is a molecular salt incorporating rheniumVcontaining oxoanions
moir:0:x:1:-:0:ray:2:interferometry:1:eacute:2:topography,moir:0:x:1:-:0:ray:2:interferometry:1:acute:2:topography,The application of the method to Xray interferometry and moir eacute  topography is discussed
moir:0:x:1:-:0:ray:2:interferometry:1:eacute,moir:0:x:1:-:0:ray:2:interferometry:1:acute,The application of the method to Xray interferometry and moir eacute  topography is discussed
eacute,acute,The application of the method to Xray interferometry and moir eacute  topography is discussed
radialy,radial,The results obtained with commercial Anodisc reg  membranes and membranes synthesized in our laboratory are compared to radialy averaged 2D Fourier transforms of electron microscopy images of the alumina membrane surface and to known values of the materials porosity
i.e.:2:accumulate:0:dislocation:1:numb:3:macrodislocation:1:burgers:0:vector,i.e.:2:accumulate:0:dislocation:1:numb:3:macrodislocations:1:burgers:0:vector,The Burgers vectors of macrodislocations ie the number of accumulated dislocations are found
macrodislocation:1:burgers:0:vector,macrodislocations:1:burgers:0:vector,The Burgers vectors of macrodislocations ie the number of accumulated dislocations are found
title:0:compound:1:in:5:.:4:carbozole:0:system:1:phenyl:0:ring:2:dihedral:0:angle:3:deg,title:0:compound:1:in:5:.:4:carbazole:0:system:1:phenyl:0:ring:2:dihedral:0:angle:3:deg,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
.:4:carbozole:0:system:1:phenyl:0:ring:2:dihedral:0:angle:3:deg,.:4:carbazole:0:system:1:phenyl:0:ring:2:dihedral:0:angle:3:deg,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
carbozole:0:system:1:phenyl:0:ring:2:dihedral:0:angle:3:deg,carbazole:0:system:1:phenyl:0:ring:2:dihedral:0:angle:3:deg,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
carbozole:0:system:1:phenyl:0:ring:2:dihedral:0:angle,carbazole:0:system:1:phenyl:0:ring:2:dihedral:0:angle,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
carbozole:0:system:1:phenyl:0:ring,carbazole:0:system:1:phenyl:0:ring,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
carbozole:0:system,carbazole:0:system,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
carbozole,carbazole,In the title compound C24H15NO3S the dihedral angle between the phenyl ring and the carbozole system is 7491 emsp14 6 deg 
independent:0:moleule,independent:0:moleules,The asymmetric unit of the title compound C15H16ClNO2S contains three independent moleules
moleule,moleules,The asymmetric unit of the title compound C15H16ClNO2S contains three independent moleules
pavel:0:ccaron:3:k:1:et:0:al:2:iacute:4:triclinic:0:polymorph,pavel:0:charon:3:k:1:et:0:al:2:acute:4:triclinic:0:polymorph,The structure of the title compound pentoxifylline C13H18N4O3 has been previously characterized as a triclinic polymorph Pavel ccaron  iacute k et al
pavel:0:ccaron,pavel:0:charon,The structure of the title compound pentoxifylline C13H18N4O3 has been previously characterized as a triclinic polymorph Pavel ccaron  iacute k et al
ccaron,charon,The structure of the title compound pentoxifylline C13H18N4O3 has been previously characterized as a triclinic polymorph Pavel ccaron  iacute k et al
lonsdaleite:0:-:0:dimensional:1:diamond:1:n:0:net:2:-:0:dimensional:1:lattice:2:application,lonsdaleites:0:-:0:dimensional:1:diamond:1:n:0:net:2:-:0:dimensional:1:lattice:2:application,Additionally this paper describes applications to threedimensional lattices and nets ndimensional diamonds and lonsdaleites
lonsdaleite:0:-:0:dimensional:1:diamond:1:n:0:net:2:-:0:dimensional:1:lattice,lonsdaleites:0:-:0:dimensional:1:diamond:1:n:0:net:2:-:0:dimensional:1:lattice,Additionally this paper describes applications to threedimensional lattices and nets ndimensional diamonds and lonsdaleites
lonsdaleite:0:-:0:dimensional:1:diamond,lonsdaleites:0:-:0:dimensional:1:diamond,Additionally this paper describes applications to threedimensional lattices and nets ndimensional diamonds and lonsdaleites
lonsdaleite,lonsdaleites,Additionally this paper describes applications to threedimensional lattices and nets ndimensional diamonds and lonsdaleites
sigma:2:transversal:1:accoustical:0:mode,sigma:2:transversal:1:acoustical:0:mode,The second diffuse system is explained by a transversal accoustical mode B1 Sigma 
transversal:1:accoustical:0:mode,transversal:1:acoustical:0:mode,The second diffuse system is explained by a transversal accoustical mode B1 Sigma 
accoustical:0:mode,acoustical:0:mode,The second diffuse system is explained by a transversal accoustical mode B1 Sigma 
mineralogist:0:create:2:bake:0:drawing:1:clay:0:model:3:careful:0:inspection:4:rom:2:century:1:de:0:eacute,mineralogist:0:create:2:bake:0:drawing:1:clay:0:model:3:careful:0:inspection:4:rom:2:century:1:de:0:acute,A careful inspection of the drawings and baked clay models created by the mineralogist Rom eacute  de LIsle in the 18th century has revealed the existence of a number of intriguing forms with pentagonal symmetries
rom:2:century:1:de:0:eacute,rom:2:century:1:de:0:acute,A careful inspection of the drawings and baked clay models created by the mineralogist Rom eacute  de LIsle in the 18th century has revealed the existence of a number of intriguing forms with pentagonal symmetries
century:1:de:0:eacute,century:1:de:0:acute,A careful inspection of the drawings and baked clay models created by the mineralogist Rom eacute  de LIsle in the 18th century has revealed the existence of a number of intriguing forms with pentagonal symmetries
de:0:eacute,de:0:acute,A careful inspection of the drawings and baked clay models created by the mineralogist Rom eacute  de LIsle in the 18th century has revealed the existence of a number of intriguing forms with pentagonal symmetries
eacute,acute,A careful inspection of the drawings and baked clay models created by the mineralogist Rom eacute  de LIsle in the 18th century has revealed the existence of a number of intriguing forms with pentagonal symmetries
century:0:late:1:quasicrystal:0:find:2:polyhedral:0:form:3:ï»¿1:1:crystallographic:0:description,century:0:late:1:quasicrystals:0:find:2:polyhedral:0:form:3:ï»¿1:1:crystallographic:0:description,They can thus be considered the first crystallographic descriptions of polyhedral forms found in quasicrystals two centuries later
century:0:late:1:quasicrystal:0:find:2:polyhedral:0:form,century:0:late:1:quasicrystals:0:find:2:polyhedral:0:form,They can thus be considered the first crystallographic descriptions of polyhedral forms found in quasicrystals two centuries later
quasicrystal,quasicrystals,They can thus be considered the first crystallographic descriptions of polyhedral forms found in quasicrystals two centuries later
.:4:recently:0:synthesize:1:quasicrystal:2:comparison:3:rom:1:de:0:eacute,.:4:recently:0:synthesize:1:quasicrystals:2:comparison:3:rom:1:de:0:acute,Rom eacute  de LIsle as well as a comparison with quasicrystals recently synthesized
recently:0:synthesize:1:quasicrystal:2:comparison:3:rom:1:de:0:eacute,recently:0:synthesize:1:quasicrystals:2:comparison:3:rom:1:de:0:acute,Rom eacute  de LIsle as well as a comparison with quasicrystals recently synthesized
rom:1:de:0:eacute,rom:1:de:0:acute,Rom eacute  de LIsle as well as a comparison with quasicrystals recently synthesized
recently:0:synthesize:1:quasicrystal:2:comparison,recently:0:synthesize:1:quasicrystals:2:comparison,Rom eacute  de LIsle as well as a comparison with quasicrystals recently synthesized
recently:0:synthesize:1:quasicrystal,recently:0:synthesize:1:quasicrystals,Rom eacute  de LIsle as well as a comparison with quasicrystals recently synthesized
.:5:plausible:1:crystal:0:form:3:pentagonal:0:symmetry:1:form:2:consider:4:rom:1:de:0:eacute,.:5:plausible:1:crystal:0:form:3:pentagonal:0:symmetry:1:form:2:consider:4:rom:1:de:0:acute,Rom eacute  de LIsle to consider forms with pentagonal symmetries as plausible crystal forms
plausible:1:crystal:0:form:3:pentagonal:0:symmetry:1:form:2:consider:4:rom:1:de:0:eacute,plausible:1:crystal:0:form:3:pentagonal:0:symmetry:1:form:2:consider:4:rom:1:de:0:acute,Rom eacute  de LIsle to consider forms with pentagonal symmetries as plausible crystal forms
...:5:chain:0:sequence:4:keggin:0:polyoxoanion:1:organic:0:cation:2:infinite:1:zigzag:0:belt:3:methanol:0:water:1:solvent:0:molecule,...:5:chain:0:sequence:4:keggin:0:polyoxoanions:1:organic:0:cation:2:infinite:1:zigzag:0:belt:3:methanol:0:water:1:solvent:0:molecule,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
chain:0:sequence:4:keggin:0:polyoxoanion:1:organic:0:cation:2:infinite:1:zigzag:0:belt:3:methanol:0:water:1:solvent:0:molecule,chain:0:sequence:4:keggin:0:polyoxoanions:1:organic:0:cation:2:infinite:1:zigzag:0:belt:3:methanol:0:water:1:solvent:0:molecule,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
keggin:0:polyoxoanion:1:organic:0:cation:2:infinite:1:zigzag:0:belt:3:methanol:0:water:1:solvent:0:molecule,keggin:0:polyoxoanions:1:organic:0:cation:2:infinite:1:zigzag:0:belt:3:methanol:0:water:1:solvent:0:molecule,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
keggin:0:polyoxoanion:1:organic:0:cation:2:infinite:1:zigzag:0:belt,keggin:0:polyoxoanions:1:organic:0:cation:2:infinite:1:zigzag:0:belt,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
keggin:0:polyoxoanion:1:organic:0:cation,keggin:0:polyoxoanions:1:organic:0:cation,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
keggin:0:polyoxoanion,keggin:0:polyoxoanions,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
polyoxoanion,polyoxoanions,Water and methanol solvent molecules make infinite zigzag belts around the organic cations and Keggin polyoxoanions with a chain sequence H2O
bacillus:0:subtili:3:nucleotide:1:-:0:bind:2:domain,bacillus:0:subtilis:3:nucleotide:1:-:0:bind:2:domain,Trivalent holmium ions were shown to isomorphously replace magnesium ions to form an ADP2Ho complex in the nucleotidebinding domain of Bacillus subtilis
streptomyces:0:lividan,streptomyces:0:lividans,The structure was solved by the molecularreplacement method using the structure of the homologue Xyl10A from Streptomyces lividans
lividan,lividans,The structure was solved by the molecularreplacement method using the structure of the homologue Xyl10A from Streptomyces lividans
moir:0:theory:6:bicrystal:0:topograph:4:x:1:-:0:ray:2:diffraction:3:fringe:5:eacute,moir:0:theory:6:bicrystals:0:topograph:4:x:1:-:0:ray:2:diffraction:3:fringe:5:acute,The theory of moir eacute  fringes on Xray diffraction topographs of bicrystals
bicrystal:0:topograph:4:x:1:-:0:ray:2:diffraction:3:fringe:5:eacute,bicrystals:0:topograph:4:x:1:-:0:ray:2:diffraction:3:fringe:5:acute,The theory of moir eacute  fringes on Xray diffraction topographs of bicrystals
eacute,acute,The theory of moir eacute  fringes on Xray diffraction topographs of bicrystals
bicrystal:0:topograph:4:x:1:-:0:ray:2:diffraction:3:fringe,bicrystals:0:topograph:4:x:1:-:0:ray:2:diffraction:3:fringe,The theory of moir eacute  fringes on Xray diffraction topographs of bicrystals
bicrystal:0:topograph,bicrystals:0:topograph,The theory of moir eacute  fringes on Xray diffraction topographs of bicrystals
bicrystal,bicrystals,The theory of moir eacute  fringes on Xray diffraction topographs of bicrystals
.:4:investigate:3:topographic:0:method:1:optical:0:property:2:sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:eacute,.:4:investigate:3:topographic:0:method:1:optical:0:property:2:sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:acute,The influence on the moir eacute  fringes of the diffraction geometry of the geometry of the sample of its optical properties and of the topographic method is investigated
investigate:3:topographic:0:method:1:optical:0:property:2:sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:eacute,investigate:3:topographic:0:method:1:optical:0:property:2:sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:acute,The influence on the moir eacute  fringes of the diffraction geometry of the geometry of the sample of its optical properties and of the topographic method is investigated
topographic:0:method:1:optical:0:property:2:sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:eacute,topographic:0:method:1:optical:0:property:2:sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:acute,The influence on the moir eacute  fringes of the diffraction geometry of the geometry of the sample of its optical properties and of the topographic method is investigated
sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:eacute,sample:0:geometry:4:moir:0:influence:3:diffraction:0:geometry:1:fringe:2:acute,The influence on the moir eacute  fringes of the diffraction geometry of the geometry of the sample of its optical properties and of the topographic method is investigated
moir:0:influence:3:diffraction:0:geometry:1:fringe:2:eacute,moir:0:influence:3:diffraction:0:geometry:1:fringe:2:acute,The influence on the moir eacute  fringes of the diffraction geometry of the geometry of the sample of its optical properties and of the topographic method is investigated
diffraction:0:geometry:1:fringe:2:eacute,diffraction:0:geometry:1:fringe:2:acute,The influence on the moir eacute  fringes of the diffraction geometry of the geometry of the sample of its optical properties and of the topographic method is investigated
weakly:0:deform:1:bicrystal,weakly:0:deform:1:bicrystals,The perfectcrystal theory is also expanded to weakly deformed bicrystals
moir:0:eacute:1:pattern,moir:0:acute:1:pattern,The periodic array of very fine crossovers formed at the exit face of a thin atomic focuser crystal illuminated by a parallel electron beam may be used to form moir eacute  patterns with a specimen crystal such that the structure of the specimen crystal may be derived with a resolution of better than 05 emsp14  Aring 
moir:0:eacute,moir:0:acute,The periodic array of very fine crossovers formed at the exit face of a thin atomic focuser crystal illuminated by a parallel electron beam may be used to form moir eacute  patterns with a specimen crystal such that the structure of the specimen crystal may be derived with a resolution of better than 05 emsp14  Aring 
eacute,acute,The periodic array of very fine crossovers formed at the exit face of a thin atomic focuser crystal illuminated by a parallel electron beam may be used to form moir eacute  patterns with a specimen crystal such that the structure of the specimen crystal may be derived with a resolution of better than 05 emsp14  Aring 
computer:0:simulation:9:moir:0:eacute:8:pattern:0:formation:7:.:6:lattice:0:constant:1:difference:2:have:4:parallel:3:gold:1:-:0:like:2:lattice:5:simple:1:idealize:0:case,computer:0:simulation:9:moir:0:acute:8:pattern:0:formation:7:.:6:lattice:0:constant:1:difference:2:have:4:parallel:3:gold:1:-:0:like:2:lattice:5:simple:1:idealize:0:case,Computer simulations of the moir eacute  pattern formation have been made for the simple idealized case of two parallel goldlike lattices having a 10 difference in lattice constant
moir:0:eacute:8:pattern:0:formation:7:.:6:lattice:0:constant:1:difference:2:have:4:parallel:3:gold:1:-:0:like:2:lattice:5:simple:1:idealize:0:case,moir:0:acute:8:pattern:0:formation:7:.:6:lattice:0:constant:1:difference:2:have:4:parallel:3:gold:1:-:0:like:2:lattice:5:simple:1:idealize:0:case,Computer simulations of the moir eacute  pattern formation have been made for the simple idealized case of two parallel goldlike lattices having a 10 difference in lattice constant
.:12:individual:1:crystal:0:lattice:9:intensity:5:atomic:0:focuser:1:crystal:2:atom:3:position:4:measure:6:individual:1:crystal:0:lattice:2:resolve:7:large:1:objective:0:aperture:8:resolve:10:image:5:view:1:electron:0:microscope:2:small:1:objective:0:aperture:3:case:4:show:11:moir:0:eacute,.:12:individual:1:crystal:0:lattice:9:intensity:5:atomic:0:focuser:1:crystal:2:atom:3:position:4:measure:6:individual:1:crystal:0:lattice:2:resolve:7:large:1:objective:0:aperture:8:resolve:10:image:5:view:1:electron:0:microscope:2:small:1:objective:0:aperture:3:case:4:show:11:moir:0:acute,Moir eacute  images are shown for the case of a small objective aperture in the viewing electron microscope such that the individual crystal lattices are not resolved and for a larger objective aperture for which the individual crystal lattices are resolved and the intensity is measured at the positions of the atoms of the atomic focuser crystal
individual:1:crystal:0:lattice:9:intensity:5:atomic:0:focuser:1:crystal:2:atom:3:position:4:measure:6:individual:1:crystal:0:lattice:2:resolve:7:large:1:objective:0:aperture:8:resolve:10:image:5:view:1:electron:0:microscope:2:small:1:objective:0:aperture:3:case:4:show:11:moir:0:eacute,individual:1:crystal:0:lattice:9:intensity:5:atomic:0:focuser:1:crystal:2:atom:3:position:4:measure:6:individual:1:crystal:0:lattice:2:resolve:7:large:1:objective:0:aperture:8:resolve:10:image:5:view:1:electron:0:microscope:2:small:1:objective:0:aperture:3:case:4:show:11:moir:0:acute,Moir eacute  images are shown for the case of a small objective aperture in the viewing electron microscope such that the individual crystal lattices are not resolved and for a larger objective aperture for which the individual crystal lattices are resolved and the intensity is measured at the positions of the atoms of the atomic focuser crystal
...:2:c:0:owater:1:mdash:0:h,...:2:c:0:water:1:mdash:0:h,Owater and C mdash H
c:0:owater:1:mdash:0:h,c:0:water:1:mdash:0:h,Owater and C mdash H
c:0:owater,c:0:water,Owater and C mdash H
benzotriazole:0:ring:1:system:2:quinoline:3:form:4:mean:0:plane:5:dihedral:0:angle:6:heterocyclic:0:core:7:helical:0:distorsion:8:triazolophenanthroline:0:result:1:bay:2:benzene:0:substitution:9:b.:0:deg:1:molecule:0:a,benzotriazole:0:ring:1:system:2:quinoline:3:form:4:mean:0:plane:5:dihedral:0:angle:6:heterocyclic:0:core:7:helical:0:distortion:8:triazolophenanthroline:0:result:1:bay:2:benzene:0:substitution:9:b.:0:deg:1:molecule:0:a,The benzene substitution in the bay of the triazolophenanthroline results in a helical distorsion of the heterocyclic core the dihedral angles between the mean planes formed by quinoline and benzotriazole ring systems are 1373 emsp14 9 for molecule A and 1487 emsp14 8 deg  for B
benzotriazole:0:ring:1:system:2:quinoline:3:form:4:mean:0:plane:5:dihedral:0:angle:6:heterocyclic:0:core:7:helical:0:distorsion:8:triazolophenanthroline:0:result:1:bay:2:benzene:0:substitution,benzotriazole:0:ring:1:system:2:quinoline:3:form:4:mean:0:plane:5:dihedral:0:angle:6:heterocyclic:0:core:7:helical:0:distortion:8:triazolophenanthroline:0:result:1:bay:2:benzene:0:substitution,The benzene substitution in the bay of the triazolophenanthroline results in a helical distorsion of the heterocyclic core the dihedral angles between the mean planes formed by quinoline and benzotriazole ring systems are 1373 emsp14 9 for molecule A and 1487 emsp14 8 deg  for B
benzotriazole:0:ring:1:system:2:quinoline:3:form:4:mean:0:plane:5:dihedral:0:angle:6:heterocyclic:0:core:7:helical:0:distorsion,benzotriazole:0:ring:1:system:2:quinoline:3:form:4:mean:0:plane:5:dihedral:0:angle:6:heterocyclic:0:core:7:helical:0:distortion,The benzene substitution in the bay of the triazolophenanthroline results in a helical distorsion of the heterocyclic core the dihedral angles between the mean planes formed by quinoline and benzotriazole ring systems are 1373 emsp14 9 for molecule A and 1487 emsp14 8 deg  for B
helical:0:distorsion,helical:0:distortion,The benzene substitution in the bay of the triazolophenanthroline results in a helical distorsion of the heterocyclic core the dihedral angles between the mean planes formed by quinoline and benzotriazole ring systems are 1373 emsp14 9 for molecule A and 1487 emsp14 8 deg  for B
distorsion,distortion,The benzene substitution in the bay of the triazolophenanthroline results in a helical distorsion of the heterocyclic core the dihedral angles between the mean planes formed by quinoline and benzotriazole ring systems are 1373 emsp14 9 for molecule A and 1487 emsp14 8 deg  for B
poymeric:0:chain,polymeric:0:chain,O interactions consolidates the crystal packing linking the poymeric chains into a threedimensional structure
tetrahedral:0:phosphoru,tetrahedral:0:phosphorus,Adjacent molecules of the title compound alternative name phosphoric bis4methylbenzamide dimethylamide C16H22N3OP with tetrahedral phosphorus are linked by twin N mdash H
phosphoru,phosphorus,Adjacent molecules of the title compound alternative name phosphoric bis4methylbenzamide dimethylamide C16H22N3OP with tetrahedral phosphorus are linked by twin N mdash H
tran:0:postition,tran:0:postitions,The dicyanamide anions are terminally bonded in trans postitions
postition,postitions,The dicyanamide anions are terminally bonded in trans postitions
double:0:diffraction:2:extra:0:spot:1:induce:3:microtwin,double:0:diffraction:2:extra:0:spot:1:induce:3:microtwins,overlapping  Sigma 3 microtwins which induce extra spots by double diffraction and ii nanotwins which induce extra spots as a result of streaking effects
microtwin,microtwins,overlapping  Sigma 3 microtwins which induce extra spots by double diffraction and ii nanotwins which induce extra spots as a result of streaking effects
mebta:0:reaction:2:molar:0:ratio:1:methanol:0:chloride,meta:0:reaction:2:molar:0:ratio:1:methanol:0:chloride,The reaction of 2methyl13benzothiazole mebta with mercuryII chloride in methanol in a 11 molar ratio resulted in the formation of single crystals of the title compound HgCl2C8H7NSn
mebta:0:reaction,meta:0:reaction,The reaction of 2methyl13benzothiazole mebta with mercuryII chloride in methanol in a 11 molar ratio resulted in the formation of single crystals of the title compound HgCl2C8H7NSn
mebta,meta,The reaction of 2methyl13benzothiazole mebta with mercuryII chloride in methanol in a 11 molar ratio resulted in the formation of single crystals of the title compound HgCl2C8H7NSn
.:7:sars:2:severe:0:acute:1:respiratory:0:syndrome:1:recent:0:epidemic:2:aetiologic:0:agent:6:know:0:coronavirus:2:substantially:1:genome:0:differ:3:coronaviridae:0:family:4:belong:5:sars:1:-:0:cov:3:positive:1:-:0:strand:2:rna:0:virus,.:7:sars:2:severe:0:acute:1:respiratory:0:syndrome:1:recent:0:epidemic:2:etiologic:0:agent:6:know:0:coronavirus:2:substantially:1:genome:0:differ:3:coronaviridae:0:family:4:belong:5:sars:1:-:0:cov:3:positive:1:-:0:strand:2:rna:0:virus,The aetiologic agent of the recent epidemics of Severe Acute Respiratory Syndrome SARS is a positivestranded RNA virus SARSCoV belonging to the Coronaviridae family and its genome differs substantially from those of other known coronaviruses
sars:2:severe:0:acute:1:respiratory:0:syndrome:1:recent:0:epidemic:2:aetiologic:0:agent:6:know:0:coronavirus:2:substantially:1:genome:0:differ:3:coronaviridae:0:family:4:belong:5:sars:1:-:0:cov:3:positive:1:-:0:strand:2:rna:0:virus,sars:2:severe:0:acute:1:respiratory:0:syndrome:1:recent:0:epidemic:2:etiologic:0:agent:6:know:0:coronavirus:2:substantially:1:genome:0:differ:3:coronaviridae:0:family:4:belong:5:sars:1:-:0:cov:3:positive:1:-:0:strand:2:rna:0:virus,The aetiologic agent of the recent epidemics of Severe Acute Respiratory Syndrome SARS is a positivestranded RNA virus SARSCoV belonging to the Coronaviridae family and its genome differs substantially from those of other known coronaviruses
sars:2:severe:0:acute:1:respiratory:0:syndrome:1:recent:0:epidemic:2:aetiologic:0:agent,sars:2:severe:0:acute:1:respiratory:0:syndrome:1:recent:0:epidemic:2:etiologic:0:agent,The aetiologic agent of the recent epidemics of Severe Acute Respiratory Syndrome SARS is a positivestranded RNA virus SARSCoV belonging to the Coronaviridae family and its genome differs substantially from those of other known coronaviruses
aetiologic:0:agent,etiologic:0:agent,The aetiologic agent of the recent epidemics of Severe Acute Respiratory Syndrome SARS is a positivestranded RNA virus SARSCoV belonging to the Coronaviridae family and its genome differs substantially from those of other known coronaviruses
general:0:formula:1:similar:0:hexahydroxidometallate:2:hydrogen:1:-:0:bond:2:topology,general:0:formula:1:similar:0:hexahydroxidometallates:2:hydrogen:1:-:0:bond:2:topology,In addition the hydrogenbonding topologies in Sr2CuOH6 and other similar hexahydroxidometallates with the general formulae M1M2OH6 M12M2OH6 and M13M2OH6 were analysed in detail
general:0:formula:1:similar:0:hexahydroxidometallate,general:0:formula:1:similar:0:hexahydroxidometallates,In addition the hydrogenbonding topologies in Sr2CuOH6 and other similar hexahydroxidometallates with the general formulae M1M2OH6 M12M2OH6 and M13M2OH6 were analysed in detail
similar:0:hexahydroxidometallate,similar:0:hexahydroxidometallates,In addition the hydrogenbonding topologies in Sr2CuOH6 and other similar hexahydroxidometallates with the general formulae M1M2OH6 M12M2OH6 and M13M2OH6 were analysed in detail
hexahydroxidometallate,hexahydroxidometallates,In addition the hydrogenbonding topologies in Sr2CuOH6 and other similar hexahydroxidometallates with the general formulae M1M2OH6 M12M2OH6 and M13M2OH6 were analysed in detail
.:6:amino:1:-:0:acid:2:residue:3:consist:4:functionally:0:uncharacterized:1:protein:5:kegg:0:database:1:streptococcus:0:mutan:0:encode,.:6:amino:1:-:0:acid:2:residue:3:consist:4:functionally:0:uncharacterized:1:protein:5:kegg:0:database:1:streptococcus:0:mutans:0:encode,Streptococcus mutans SMU1108c KEGG database encodes a functionally uncharacterized protein consisting of 270 aminoacid residues
amino:1:-:0:acid:2:residue:3:consist:4:functionally:0:uncharacterized:1:protein:5:kegg:0:database:1:streptococcus:0:mutan:0:encode,amino:1:-:0:acid:2:residue:3:consist:4:functionally:0:uncharacterized:1:protein:5:kegg:0:database:1:streptococcus:0:mutans:0:encode,Streptococcus mutans SMU1108c KEGG database encodes a functionally uncharacterized protein consisting of 270 aminoacid residues
kegg:0:database:1:streptococcus:0:mutan:0:encode,kegg:0:database:1:streptococcus:0:mutans:0:encode,Streptococcus mutans SMU1108c KEGG database encodes a functionally uncharacterized protein consisting of 270 aminoacid residues
kegg:0:database:1:streptococcus:0:mutan,kegg:0:database:1:streptococcus:0:mutans,Streptococcus mutans SMU1108c KEGG database encodes a functionally uncharacterized protein consisting of 270 aminoacid residues
streptococcus:0:mutan,streptococcus:0:mutans,Streptococcus mutans SMU1108c KEGG database encodes a functionally uncharacterized protein consisting of 270 aminoacid residues
mutan,mutans,Streptococcus mutans SMU1108c KEGG database encodes a functionally uncharacterized protein consisting of 270 aminoacid residues
methylobacterium:0:extorquen:2:mdh:1:methanol:0:dehydrogenase:1:crystal:0:structure,methylobacterium:0:extorquens:2:mdh:1:methanol:0:dehydrogenase:1:crystal:0:structure,The crystal structure of methanol dehydrogenase MDH from Methylobacterium extorquens has been refined without stereochemical restraints at a resolution of 12 emsp14  Aring 
methylobacterium:0:extorquen,methylobacterium:0:extorquens,The crystal structure of methanol dehydrogenase MDH from Methylobacterium extorquens has been refined without stereochemical restraints at a resolution of 12 emsp14  Aring 
extorquen,extorquens,The crystal structure of methanol dehydrogenase MDH from Methylobacterium extorquens has been refined without stereochemical restraints at a resolution of 12 emsp14  Aring 
ligase:1:abundant:0:class:2:cullin:1:ligase:0:complex,ligase:1:abundant:0:class:2:cullen:1:ligase:0:complex,The cullin E3 ligase complexes are the most abundant class of E3 ligases they contain various cullin components that serve as scaffolds for interaction with substraterecruiting adaptor proteins
cullin:1:ligase:0:complex,cullen:1:ligase:0:complex,The cullin E3 ligase complexes are the most abundant class of E3 ligases they contain various cullin components that serve as scaffolds for interaction with substraterecruiting adaptor proteins
cullin,cullen,The cullin E3 ligase complexes are the most abundant class of E3 ligases they contain various cullin components that serve as scaffolds for interaction with substraterecruiting adaptor proteins
