docID,sentence,subject,predicate,object,root,synonyms,level,distance
10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,accomplished by,extensive O mdash H,accomplish,"{'action', 'attain', 'fulfil', 'accomplish', 'fulfill', 'achieve', 'reach', 'execute'}",3,20,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,is,3
10.1107/S1600536803020063,The crystal packing is characterized by C mdash H,crystal packing,characterized by,mdash H,characterize,"{'qualify', 'characterise', 'characterize'}",1,23,crystal:0:pack,mdash:0:h,is,4
10.1107/S1600536803020063,The crystal packing is characterized by C mdash H,crystal packing,characterized by,C mdash H,characterize,"{'qualify', 'characterise', 'characterize'}",2,21,crystal:0:pack,c:1:mdash:0:h,is,3
10.1107/S002188988301033X,For the Xray case relating to a small crystal and not involving a monochromator the  Delta  omega   Delta 2 thetas  intensity array for a Bragg reflection derived from use of a linear positionsensitive detector and arranged as for an  omega  thetas  scan can be relatively simply scaled to correspond with the distribution around a reciprocallattice point in the plane of diffraction,Bragg reflection,derived from,plane of diffraction,derive,"{'descend', 'educe', 'deduce', 'derive', 'deduct', 'infer', 'gain'}",1,209,bragg:0:reflection,diffraction:0:plane,,32
10.1107/S002188988301033X,For the Xray case relating to a small crystal and not involving a monochromator the  Delta  omega   Delta 2 thetas  intensity array for a Bragg reflection derived from use of a linear positionsensitive detector and arranged as for an  omega  thetas  scan can be relatively simply scaled to correspond with the distribution around a reciprocallattice point in the plane of diffraction,Bragg reflection,arranged as,plane of diffraction,arrange,"{'format', 'order', 'arrange', 'coiffure', 'stage', 'coif', 'put'}",1,209,bragg:0:reflection,diffraction:0:plane,,32
10.1107/S002188988301033X,For the Xray case relating to a small crystal and not involving a monochromator the  Delta  omega   Delta 2 thetas  intensity array for a Bragg reflection derived from use of a linear positionsensitive detector and arranged as for an  omega  thetas  scan can be relatively simply scaled to correspond with the distribution around a reciprocallattice point in the plane of diffraction,Bragg reflection,scaled to,plane of diffraction,scale,"{'surmount', 'scale', 'descale'}",1,209,bragg:0:reflection,diffraction:0:plane,,32
10.1107/S002188988301033X,For the Xray case relating to a small crystal and not involving a monochromator the  Delta  omega   Delta 2 thetas  intensity array for a Bragg reflection derived from use of a linear positionsensitive detector and arranged as for an  omega  thetas  scan can be relatively simply scaled to correspond with the distribution around a reciprocallattice point in the plane of diffraction,Bragg reflection,correspond with,plane of diffraction,correspond,"{'match', 'check', 'fit', 'equate', 'correspond', 'gibe', 'tally', 'represent', 'agree', 'jibe'}",1,209,bragg:0:reflection,diffraction:0:plane,,32
10.1107/S0909049505013580,Owing to the elongational flow at the centre of this device alignment of the material is induced which allows for an improved structural characterization,alignment of the material,induced,structural characterization,induce,"{'rush', 'make', 'stimulate', 'cause', 'hasten', 'induct', 'induce'}",1,41,material:0:alignment,structural:0:characterization,is,7
10.1107/S0909049505013580,Owing to the elongational flow at the centre of this device alignment of the material is induced which allows for an improved structural characterization,alignment of the material,allows for,structural characterization,allow,"{'permit', 'admit', 'countenance', 'grant', 'leave', 'let', 'appropriate', 'allow', 'earmark', 'provide', 'reserve'}",1,41,material:0:alignment,structural:0:characterization,,7
10.1107/S0909049505013580,Owing to the elongational flow at the centre of this device alignment of the material is induced which allows for an improved structural characterization,alignment of the material,induced,improved structural characterization,induce,"{'rush', 'make', 'stimulate', 'cause', 'hasten', 'induct', 'induce'}",2,32,material:0:alignment,improve:1:structural:0:characterization,is,6
10.1107/S0909049505013580,Owing to the elongational flow at the centre of this device alignment of the material is induced which allows for an improved structural characterization,alignment of the material,allows for,improved structural characterization,allow,"{'permit', 'admit', 'countenance', 'grant', 'leave', 'let', 'appropriate', 'allow', 'earmark', 'provide', 'reserve'}",2,32,material:0:alignment,improve:1:structural:0:characterization,,6
10.1107/S1600536809052118,In the title complex Cu2V8O2122 prime bpy2n bpy  bipyridine C10H8N2 the asymmetric unit contains four independent V atoms briged by 11 O atoms one of which lies on an inversion center and a Cu22 prime bpy2 unit,asymmetric unit,contains,V atoms,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",1,27,asymmetric:0:unit,v:0:atom,,3
10.1107/S1600536809052118,In the title complex Cu2V8O2122 prime bpy2n bpy  bipyridine C10H8N2 the asymmetric unit contains four independent V atoms briged by 11 O atoms one of which lies on an inversion center and a Cu22 prime bpy2 unit,asymmetric unit,contains,independent V atoms,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",2,15,asymmetric:0:unit,independent:1:v:0:atom,,2
10.1107/S1600536809052118,The Cu atom adopts a squarepyramidal geometry being coordinated by two nitrogen donors of a 22 prime bpy ligand and three bridging O atoms which are linked with V atoms,Cu atom,adopts,nitrogen donors,adopt,"{'acquire', 'borrow', 'embrace', 'assume', 'espouse', 'dramatise', 'adopt', 'dramatize', 'follow', 'take'}",1,60,cu:0:atom,nitrogen:0:donor,,8
10.1107/S1600536809052118,The Cu atom adopts a squarepyramidal geometry being coordinated by two nitrogen donors of a 22 prime bpy ligand and three bridging O atoms which are linked with V atoms,Cu atom,being,nitrogen donors,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,60,cu:0:atom,nitrogen:0:donor,,8
10.1107/S1600536809052118,The Cu atom adopts a squarepyramidal geometry being coordinated by two nitrogen donors of a 22 prime bpy ligand and three bridging O atoms which are linked with V atoms,Cu atom,adopts,three bridging O atoms which are linked with V atoms,adopt,"{'acquire', 'borrow', 'embrace', 'assume', 'espouse', 'dramatise', 'adopt', 'dramatize', 'follow', 'take'}",3,105,cu:0:atom,v:0:atom:1:link:2:bridge:1:o:0:atom,,17
10.1107/S1600536809052118,The Cu atom adopts a squarepyramidal geometry being coordinated by two nitrogen donors of a 22 prime bpy ligand and three bridging O atoms which are linked with V atoms,Cu atom,being,three bridging O atoms which are linked with V atoms,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",3,105,cu:0:atom,v:0:atom:1:link:2:bridge:1:o:0:atom,,17
10.1107/S1600536809053203,In the crystal the triazole thiocarbonohydrazide and methanol molecules are linked by N mdash H,thiocarbonohydrazide and methanol,linked by,mdash H,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",1,27,methanol:0:thiocarbonohydrazide,mdash:0:h,are,5
10.1107/S160053680905377X,The two centrosymmetrically related NiII atoms each attached to an acetate ligand are linked by two fluconazole ligands,acetate ligand,linked by,fluconazole ligands,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",1,19,acetate:0:ligand,fluconazole:0:ligand,are,4
10.1107/S160053680905377X,In the crystal structure the halfoccupied methanol solvent molecule is linked to a triazole group via an O mdash H,methanol solvent,linked to,mdash H,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",1,49,methanol:0:solvent,mdash:0:h,is,10
10.1107/S1600536809039415,The CoII atom in the title complex CoNO22C12H12N62n lies on an inversion center and is coordinated by four N atoms from the triazole rings of two symmetryrelated pairs of 14bis124triazol1ylmethylbenzene bbtz ligands and two O atoms from two symmetryrelated monodentate nitrate ligands in a distorted octahedral geometry,title complex,lies on,inversion center,lie,"{'belong', 'rest', 'dwell', 'consist', 'lie'}",1,29,title:0:complex,inversion:0:center,,4
10.1107/S1600536809039415,The CoII atom in the title complex CoNO22C12H12N62n lies on an inversion center and is coordinated by four N atoms from the triazole rings of two symmetryrelated pairs of 14bis124triazol1ylmethylbenzene bbtz ligands and two O atoms from two symmetryrelated monodentate nitrate ligands in a distorted octahedral geometry,inversion center,coordinated by,N atoms,coordinate,"{'organise', 'coordinate', 'align', 'organize', 'ordinate'}",1,28,inversion:0:center,n:0:atom,is,5
10.1107/S1600536809039415,The CoII atom in the title complex CoNO22C12H12N62n lies on an inversion center and is coordinated by four N atoms from the triazole rings of two symmetryrelated pairs of 14bis124triazol1ylmethylbenzene bbtz ligands and two O atoms from two symmetryrelated monodentate nitrate ligands in a distorted octahedral geometry,CoII atom in the title complex,lies on,inversion center,lie,"{'belong', 'rest', 'dwell', 'consist', 'lie'}",2,29,title:0:complex:1:coii:0:atom,inversion:0:center,,4
10.1107/S1600536803019433,The crystal structure of polymeric diaqua8hydroxyquinolinyl5sulfonatozincII consists of a centrosymmetric C9H5NO4S2H2O2Zn2 entity which is linked into a network structure by intermolecular sulfonyl bridges,crystal structure,consists of,network structure,consist,"{'belong', 'comprise', 'dwell', 'consist', 'lie'}",1,132,crystal:0:structure,network:0:structure,,14
10.1107/S1600536803019391,The title complex FeC10H6NO22H2O2 middot 2H2O has a sixcoordinate Fe atom at a center of symmetry with two bidentate isoquinoline ligands and two water molecules in a trans configuration,title complex,has,Fe atom,have,"{'hold', 'experience', 'consume', 'get', 'ingest', 'possess', 'let', 'receive', 'own', 'feature', 'undergo', 'give', 'have'}",1,49,title:0:complex,fe:0:atom,,6
10.1107/S1600536803019524,The crystal structure of the title compound CoC6H6N4S22Cl2 middot 2H2O comprises an octahedral CoII complex and water of crystallization,title compound,comprises,water of crystallization,comprise,"{'be', 'contain', 'constitute', 'comprise', 'consist', 'represent', 'incorporate'}",1,69,title:0:compound,crystallization:0:water,,9
10.1107/S1600536803019524,The crystal structure of the title compound CoC6H6N4S22Cl2 middot 2H2O comprises an octahedral CoII complex and water of crystallization,crystal structure of the title compound,comprises,water of crystallization,comprise,"{'be', 'contain', 'constitute', 'comprise', 'consist', 'represent', 'incorporate'}",2,69,title:0:compound:1:crystal:0:structure,crystallization:0:water,,9
10.1107/S1600536803019846,The title compound ZnC7H2NO5H2O3 middot 025CH3CN middot H2O was synthesized by the reaction of ZnCH3COO2 middot 2H2O and chelidamic acid,title compound,synthesized by,chelidamic acid,synthesize,"{'synthesize', 'synthesise'}",1,103,title:0:compound,chelidamic:0:acid,,15
10.1107/S1600576714004427,The library entries are tailored for constrained also known as rigid body refinements of problematic smallmolecule structures with the OLEX2 and SHELXL software packages,library entries,tailored for,rigid body,tailor,"{'sew', 'tailor-make', 'shoehorn', 'cut', 'tailor'}",1,44,library:0:entry,rigid:0:body,are,7
10.1107/S1600576714004427,The library entries are tailored for constrained also known as rigid body refinements of problematic smallmolecule structures with the OLEX2 and SHELXL software packages,library entries,constrained,rigid body,constrain,"{'stiffen', 'cumber', 'encumber', 'tighten', 'restrain', 'constrain'}",1,44,library:0:entry,rigid:0:body,,7
10.1107/S1600576714004427,The library entries are tailored for constrained also known as rigid body refinements of problematic smallmolecule structures with the OLEX2 and SHELXL software packages,library entries,known as,rigid body,know,"{'bang', 'fuck', 'love', 'recognise', 'experience', 'recognize', 'know', 'eff', 'acknowledge', 'bonk', 'hump', 'jazz', 'bed', 'live', 'screw', 'cognize'}",1,44,library:0:entry,rigid:0:body,,7
10.1107/S1600576714004427,The library application is demonstrated with the refinement of a Pd complex transPddimethyl sulfoxideOH2trifluoroacetate2 that cocrystallizes in a 21 ratio with a solvent molecule of ethyl acetate disordered over an inversion center,library application,demonstrated with,solvent molecule,demonstrate,"{'prove', 'evidence', 'certify', 'exhibit', 'march', 'present', 'show', 'demo', 'establish', 'shew', 'manifest', 'attest', 'demonstrate'}",1,140,library:0:application,solvent:0:molecule,is,19
10.1107/S1600576714004427,The library application is demonstrated with the refinement of a Pd complex transPddimethyl sulfoxideOH2trifluoroacetate2 that cocrystallizes in a 21 ratio with a solvent molecule of ethyl acetate disordered over an inversion center,library application,demonstrated with,solvent molecule of ethyl acetate,demonstrate,"{'prove', 'evidence', 'certify', 'exhibit', 'march', 'present', 'show', 'demo', 'establish', 'shew', 'manifest', 'attest', 'demonstrate'}",2,140,library:0:application,ethyl:0:acetate:1:solvent:0:molecule,is,19
10.1107/S1600576714004427,The library application is demonstrated with the refinement of a Pd complex transPddimethyl sulfoxideOH2trifluoroacetate2 that cocrystallizes in a 21 ratio with a solvent molecule of ethyl acetate disordered over an inversion center,library application,demonstrated with,solvent molecule of ethyl acetate disordered over an inversion center,demonstrate,"{'prove', 'evidence', 'certify', 'exhibit', 'march', 'present', 'show', 'demo', 'establish', 'shew', 'manifest', 'attest', 'demonstrate'}",3,140,library:0:application,inversion:0:center:1:disorder:2:ethyl:0:acetate:1:solvent:0:molecule,is,19
10.1107/S0021889893008568,measurements on pumice an amorphous natural aluminosilicate used as support for metals in the preparation of catalysts are reported,natural aluminosilicate,used as,support for metals,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,9,natural:0:aluminosilicate,metal:0:support,,2
10.1107/S0021889893008568,measurements on pumice an amorphous natural aluminosilicate used as support for metals in the preparation of catalysts are reported,amorphous natural aluminosilicate,used as,support for metals in the preparation of catalysts,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,9,amorphous:1:natural:0:aluminosilicate,catalyst:0:preparation:1:metal:0:support,,2
10.1107/S0021889893008568,The SANS spectrum indicates the presence of a broad size distribution of pores and the absence of volume fractality,SANS spectrum,indicates,broad size,indicate,"{'betoken', 'argue', 'point', 'bespeak', 'show', 'signal', 'indicate', 'suggest'}",1,29,sans:0:spectrum,broad:0:size,,5
10.1107/S0021889893008568,The SANS spectrum indicates the presence of a broad size distribution of pores and the absence of volume fractality,SANS spectrum,indicates,broad size distribution,indicate,"{'betoken', 'argue', 'point', 'bespeak', 'show', 'signal', 'indicate', 'suggest'}",2,29,sans:0:spectrum,broad:0:size:1:distribution,,5
10.1107/S0021889893008568,The SANS spectrum indicates the presence of a broad size distribution of pores and the absence of volume fractality,SANS spectrum,indicates,broad size distribution of pores and the absence of volume fractality,indicate,"{'betoken', 'argue', 'point', 'bespeak', 'show', 'signal', 'indicate', 'suggest'}",3,29,sans:0:spectrum,volume:0:fractality:1:absence:2:pore:2:broad:0:size:1:distribution,,5
10.1107/S0021889893008568,The structure of pumice suggested by the paircorrelation function derived from the WANS spectrum and simulated by a randomnetwork structure model is very similar to that of vitreous silica consisting mainly of SiO4 minus 4 tetrahedra interconnected by bridging O atoms with additional local disorder generated by the replacement on average of one in ten Si atoms by aluminium,vitreous silica,consisting,O atoms,consist,"{'belong', 'comprise', 'dwell', 'consist', 'lie'}",1,73,vitreous:0:silica,o:0:atom,,10
10.1107/S1600536803019883,The title compound C12H13NO3 was synthesized from L beta threonine and the lactone ring was formed by nucleophilic reaction of the  beta hydroxyl group in the presence of a base,title compound,synthesized from,lactone ring,synthesize,"{'synthesize', 'synthesise'}",1,57,title:0:compound,lactone:0:ring,,9
10.1107/S1600536803019883,The title compound C12H13NO3 was synthesized from L beta threonine and the lactone ring was formed by nucleophilic reaction of the  beta hydroxyl group in the presence of a base,lactone ring,formed by,nucleophilic reaction,form,"{'organise', 'constitute', 'spring', 'form', 'organize', 'mould', 'imprint', 'forge', 'mold', 'shape'}",1,15,lactone:0:ring,nucleophilic:0:reaction,,3
10.1107/S1600536803019883,The methyl and amino groups are located at cis positions but the puckering of the lactone ring reduces their steric hindrance,methyl and amino,located at,cis positions,locate,"{'site', 'situate', 'settle', 'place', 'locate'}",1,23,amino:0:methyl,cis:0:position,are,4
10.1107/S1600536803019883,The methyl and amino groups are located at cis positions but the puckering of the lactone ring reduces their steric hindrance,methyl and amino groups,located at,cis positions,locate,"{'site', 'situate', 'settle', 'place', 'locate'}",2,16,amino:0:methyl:1:group,cis:0:position,are,3
10.1107/S1600536803019883,The hydrogen bonds between the amide bonds extend along the b axis and stabilize the molecular packing,hydrogen bonds,extend along,molecular packing,extend,"{'broaden', 'stretch', 'lead', 'expand', 'exsert', 'extend', 'go', 'widen', 'pass', 'cover', 'offer', 'run'}",1,67,hydrogen:0:bond,molecular:0:pack,,12
10.1107/S1600536803019883,The hydrogen bonds between the amide bonds extend along the b axis and stabilize the molecular packing,hydrogen bonds,stabilize,molecular packing,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",1,67,hydrogen:0:bond,molecular:0:pack,,12
10.1107/S1600536803019883,The hydrogen bonds between the amide bonds extend along the b axis and stabilize the molecular packing,hydrogen bonds between the amide bonds,extend along,molecular packing,extend,"{'broaden', 'stretch', 'lead', 'expand', 'exsert', 'extend', 'go', 'widen', 'pass', 'cover', 'offer', 'run'}",2,43,amide:0:bond:1:hydrogen:0:bond,molecular:0:pack,,8
10.1107/S1600536803019883,The hydrogen bonds between the amide bonds extend along the b axis and stabilize the molecular packing,hydrogen bonds between the amide bonds,stabilize,molecular packing,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",2,43,amide:0:bond:1:hydrogen:0:bond,molecular:0:pack,,8
10.1107/S1600536803019792,The centrosymmetric naphthoquinone moieties are connected by bifurcated N mdash H,naphthoquinone moieties,connected by,mdash H,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",1,31,naphthoquinone:0:moiety,mdash:0:h,are,5
10.1107/S1600536803019792,The centrosymmetric naphthoquinone moieties are connected by bifurcated N mdash H,centrosymmetric naphthoquinone moieties,connected by,N mdash H,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",2,29,centrosymmetric:1:naphthoquinone:0:moiety,n:1:mdash:0:h,are,4
10.1107/S1600536803019792,The centrosymmetric naphthoquinone moieties are connected by bifurcated N mdash H,centrosymmetric naphthoquinone moieties,connected by,bifurcated N mdash H,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",3,18,centrosymmetric:1:naphthoquinone:0:moiety,bifurcate:2:n:1:mdash:0:h,are,3
10.1107/S1600536803019792,The molecules are stacked along the c axis with overlap occurring only at the periphery of the naphthoquinone skeleton,c axis,occurring,naphthoquinone skeleton,occur,"{'hap', 'happen', 'pass', 'occur'}",1,53,c:0:axis,naphthoquinone:0:skeleton,,9
10.1107/S1600536803019792,The molecules are stacked along the c axis with overlap occurring only at the periphery of the naphthoquinone skeleton,c axis,occurring,periphery of the naphthoquinone skeleton,occur,"{'hap', 'happen', 'pass', 'occur'}",2,36,c:0:axis,naphthoquinone:0:skeleton:1:periphery,,6
10.1107/S1600536808001888,The hydroxy group is involved in an intramolecular O mdash H,hydroxy group,involved in,mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",1,36,hydroxy:0:group,mdash:0:h,is,6
10.1107/S1600536808001888,The hydroxy group is involved in an intramolecular O mdash H,hydroxy group,involved in,O mdash H,involve,"{'affect', 'ask', 'demand', 'imply', 'involve', 'need', 'regard', 'require', 'take', 'postulate', 'necessitate'}",2,34,hydroxy:0:group,o:1:mdash:0:h,is,5
10.1107/S1600536808001888,In the crystal structure molecules related by translation along the c axis are stacked into columns the shortest intermolecular C,translation along the c axis,stacked into,shortest intermolecular C,stack,"{'heap', 'pile', 'stack'}",2,30,c:0:axis:1:translation,short:0:intermolecular:1:c,are,5
10.1107/S1600536808002389,Intermolecular hydrogen bonds link two cations and two anions into a centrosymmetric cluster,Intermolecular hydrogen bonds,link,two cations and two anions,link,"{'connect', 'colligate', 'join', 'yoke', 'unite', 'associate', 'relate', 'link', 'tie'}",2,6,intermolecular:1:hydrogen:0:bond,anion:0:cation,,1
10.1107/S1600536807067578,The molecule of the title compound C30H46 has a crystallographically imposed inversion center and the cyclohexyl groups are oriented with their methine H atoms pointing towards one another HH  204 emsp14  Aring ,title compound,has,inversion center,have,"{'hold', 'experience', 'consume', 'get', 'ingest', 'possess', 'let', 'receive', 'own', 'feature', 'undergo', 'give', 'have'}",1,43,title:0:compound,inversion:0:center,,5
10.1107/S0021889878013618,A comparative analysis of the spermwhale myoglobin structure in the crystal and in solution has been carried out with the technique previously formulated by the authors which uses the largeangle Xray diffuse scattering for investigating the protein structure in solution,in the crystal and in solution,been,protein structure,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,150,solution:0:crystal,protein:0:structure,has,22
10.1107/S0021889878013618,A comparative analysis of the spermwhale myoglobin structure in the crystal and in solution has been carried out with the technique previously formulated by the authors which uses the largeangle Xray diffuse scattering for investigating the protein structure in solution,in the crystal and in solution,carried,protein structure,carry,"{'contain', 'hold', 'express', 'convey', 'transport', 'channel', 'transmit', 'conduct', 'carry', 'pack', 'bear'}",1,150,solution:0:crystal,protein:0:structure,,22
10.1107/S0021889878013618,A modified cube method correctly taking into account the cavities within the protein molecule accessible to the solvent is proposed for an accurate estimate of the solvent influence and for calculation of the scattering intensities,protein molecule,proposed for,accurate estimate,propose,"{'propose', 'nominate', 'aim', 'advise', 'project', 'suggest', 'purpose', 'purport'}",1,46,protein:0:molecule,accurate:0:estimate,is,8
10.1107/S0021889878013618,A modified cube method correctly taking into account the cavities within the protein molecule accessible to the solvent is proposed for an accurate estimate of the solvent influence and for calculation of the scattering intensities,cavities within the protein molecule,proposed for,accurate estimate,propose,"{'propose', 'nominate', 'aim', 'advise', 'project', 'suggest', 'purpose', 'purport'}",2,46,protein:0:molecule:1:cavity,accurate:0:estimate,is,8
10.1107/S0021889878013618,A modified cube method correctly taking into account the cavities within the protein molecule accessible to the solvent is proposed for an accurate estimate of the solvent influence and for calculation of the scattering intensities,cavities within the protein molecule accessible to the solvent,proposed for,accurate estimate,propose,"{'propose', 'nominate', 'aim', 'advise', 'project', 'suggest', 'purpose', 'purport'}",3,20,solvent:0:accessible:2:protein:0:molecule:1:cavity,accurate:0:estimate,is,4
10.1107/S0021889878013618,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices,groups of helices,do,scattering indicatrices,do,"{'practice', 'suffice', 'perform', 'fare', 'make', 'practise', 'exercise', 'answer', 'behave', 'cause', 'act', 'do', 'execute'}",1,70,helix:0:group,scatter:0:indicatrice,,11
10.1107/S0021889878013618,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices,groups of helices,lead to,scattering indicatrices,lead,"{'lead', 'top', 'direct', 'leave', 'extend', 'go', 'conduct', 'pass', 'guide', 'conduce', 'result', 'head', 'take', 'contribute', 'run'}",1,70,helix:0:group,scatter:0:indicatrice,,11
10.1107/S0021889878013618,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices,physically reasonable shifts,do,experimental and theoretical scattering indicatrices,do,"{'practice', 'suffice', 'perform', 'fare', 'make', 'practise', 'exercise', 'answer', 'behave', 'cause', 'act', 'do', 'execute'}",2,73,physically:0:reasonable:1:shift,theoretical:0:experimental:1:scatter:0:indicatrice,,14
10.1107/S0021889878013618,It is also shown that several other physically reasonable shifts of helices or groups of helices do not lead to an agreement between the experimental and theoretical scattering indicatrices,physically reasonable shifts,lead to,experimental and theoretical scattering indicatrices,lead,"{'lead', 'top', 'direct', 'leave', 'extend', 'go', 'conduct', 'pass', 'guide', 'conduce', 'result', 'head', 'take', 'contribute', 'run'}",2,73,physically:0:reasonable:1:shift,theoretical:0:experimental:1:scatter:0:indicatrice,,14
10.1107/S0021889803012998,Xray diffraction in Bragg geometry was used to investigate the effects of standing longitudinal acoustic waves on an Si111 wafer,Bragg geometry,used to,acoustic waves,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,62,bragg:0:geometry,acoustic:0:wave,,9
10.1107/S0021889803012998,Xray diffraction in Bragg geometry was used to investigate the effects of standing longitudinal acoustic waves on an Si111 wafer,Bragg geometry,investigate,acoustic waves,investigate,"{'enquire', 'investigate', 'inquire'}",1,62,bragg:0:geometry,acoustic:0:wave,,9
10.1107/S0021889803012998,Xray diffraction in Bragg geometry was used to investigate the effects of standing longitudinal acoustic waves on an Si111 wafer,Bragg geometry,used to,longitudinal acoustic waves,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,49,bragg:0:geometry,longitudinal:1:acoustic:0:wave,,8
10.1107/S0021889803012998,Xray diffraction in Bragg geometry was used to investigate the effects of standing longitudinal acoustic waves on an Si111 wafer,Bragg geometry,investigate,longitudinal acoustic waves,investigate,"{'enquire', 'investigate', 'inquire'}",2,49,bragg:0:geometry,longitudinal:1:acoustic:0:wave,,8
10.1107/S0021889803012998,The thermal contribution causes an angular displacement of the Bragg profile and was mapped without time resolution,thermal contribution,causes,angular displacement,cause,"{'make', 'stimulate', 'cause', 'do', 'induce'}",1,11,thermal:0:contribution,angular:0:displacement,,2
10.1107/S0021889803012998,The thermal contribution causes an angular displacement of the Bragg profile and was mapped without time resolution,Bragg profile,mapped without,time resolution,map,{'map'},1,24,bragg:0:profile,time:0:resolution,,4
10.1107/S0021889803012998,The thermal contribution causes an angular displacement of the Bragg profile and was mapped without time resolution,thermal contribution,causes,angular displacement of the Bragg profile,cause,"{'make', 'stimulate', 'cause', 'do', 'induce'}",2,11,thermal:0:contribution,bragg:0:profile:1:angular:0:displacement,,2
10.1107/S0021889803012998,The thermal contribution causes an angular displacement of the Bragg profile and was mapped without time resolution,angular displacement of the Bragg profile,mapped without,time resolution,map,{'map'},2,24,bragg:0:profile:1:angular:0:displacement,time:0:resolution,,4
10.1107/S0021889803012998,The actual ultrasonic oscillation of the surface was measured using a stroboscopic system,ultrasonic oscillation,measured,stroboscopic system,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",1,37,ultrasonic:0:oscillation,stroboscopic:0:system,,7
10.1107/S0021889803012998,The actual ultrasonic oscillation of the surface was measured using a stroboscopic system,ultrasonic oscillation,using,stroboscopic system,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,37,ultrasonic:0:oscillation,stroboscopic:0:system,,7
10.1107/S0021889803012998,The actual ultrasonic oscillation of the surface was measured using a stroboscopic system,actual ultrasonic oscillation,measured,stroboscopic system,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",2,37,actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,,7
10.1107/S0021889803012998,The actual ultrasonic oscillation of the surface was measured using a stroboscopic system,actual ultrasonic oscillation,using,stroboscopic system,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,37,actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,,7
10.1107/S0021889803012998,The actual ultrasonic oscillation of the surface was measured using a stroboscopic system,actual ultrasonic oscillation of the surface,measured,stroboscopic system,measure,"{'quantify', 'value', 'evaluate', 'measure', 'appraise', 'valuate', 'assess'}",3,22,surface:2:actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,,4
10.1107/S0021889803012998,The actual ultrasonic oscillation of the surface was measured using a stroboscopic system,actual ultrasonic oscillation of the surface,using,stroboscopic system,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",3,22,surface:2:actual:1:ultrasonic:0:oscillation,stroboscopic:0:system,,4
10.1107/S0021889803012998,Bulging of the Si111 surface was mapped out and the maximum deformation near the centre of the Si wafer was determined for a given ultrasonic power,Si wafer,determined for,ultrasonic power,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",1,28,si:0:wafer,ultrasonic:0:power,,5
