subject,object,predicate,sentence,pred freq,sub freq,obj freq,distance,root,root freq,synonyms,sub term,obj term,level,doc ID
entropy of an asymmetrical ensemble,true space group,be increased by,The entropy of an asymmetrical ensemble can always be increased by averaging it over equivalent positions of the atoms in the true space group with the result that the atoms naturally tend to adopt the highest symmetry compatible with the data,1,2,2,87,increase,7,{'increase'},ensemble:0:asymmetrical:1:entropy,true:1:space:0:group,2,10.1107/S0108767300013714
entropy of an asymmetrical ensemble,true space group,by averaging,The entropy of an asymmetrical ensemble can always be increased by averaging it over equivalent positions of the atoms in the true space group with the result that the atoms naturally tend to adopt the highest symmetry compatible with the data,1,2,2,87,average,1,{'average'},ensemble:0:asymmetrical:1:entropy,true:1:space:0:group,2,10.1107/S0108767300013714
different types,single force,experience,In a cell with different types of atom the atoms experience a single force function but they interact with a strength proportional to the products of their scattering factors,3,1,1,32,experience,3,"{'live', 'get', 'receive', 'experience', 'know', 'have', 'undergo', 'feel'}",different:0:type,single:0:force,1,10.1107/S0108767300013714
single force,strength proportional,interact with,In a cell with different types of atom the atoms experience a single force function but they interact with a strength proportional to the products of their scattering factors,4,1,1,35,interact,16,{'interact'},single:0:force,strength:0:proportional,1,10.1107/S0108767300013714
different types of atom,single force function,experience,In a cell with different types of atom the atoms experience a single force function but they interact with a strength proportional to the products of their scattering factors,3,1,1,24,experience,3,"{'live', 'get', 'receive', 'experience', 'know', 'have', 'undergo', 'feel'}",atom:1:different:0:type,single:0:force:1:function,2,10.1107/S0108767300013714
single force function,products of their scattering factors,interact with,In a cell with different types of atom the atoms experience a single force function but they interact with a strength proportional to the products of their scattering factors,4,1,1,55,interact,16,{'interact'},single:0:force:1:function,scatter:0:factor:1:product,2,10.1107/S0108767300013714
cell with different types of atom,strength proportional to the products of their scattering factors,experience,In a cell with different types of atom the atoms experience a single force function but they interact with a strength proportional to the products of their scattering factors,3,2,2,71,experience,3,"{'live', 'get', 'receive', 'experience', 'know', 'have', 'undergo', 'feel'}",atom:1:different:0:type:2:cell,scatter:0:factor:1:product:2:strength:0:proportional,3,10.1107/S0108767300013714
cell with different types of atom,strength proportional to the products of their scattering factors,interact with,In a cell with different types of atom the atoms experience a single force function but they interact with a strength proportional to the products of their scattering factors,4,2,2,71,interact,16,{'interact'},atom:1:different:0:type:2:cell,scatter:0:factor:1:product:2:strength:0:proportional,3,10.1107/S0108767300013714
Numerical estimates,typical cases,are given for,Numerical estimates are given for typical cases,7,1,1,15,give,50,"{'hold', 'give', 'gift', 'afford', 'throw', 'have', 'present', 'yield', 'pay'}",numerical:0:estimate,typical:0:case,1,10.1107/S0108767300013714
coumarin and phenyl,dihedral angle,form,The planes of the coumarin and phenyl rings form a dihedral angle of 5097 emsp14 8 deg  between them,20,1,27,14,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",phenyl:0:coumarin,dihedral:0:angle,1,10.1107/S010827019809982X
crystal structure,mdash H,is stabilized by,The crystal structure is stabilized by O mdash H,58,68,121,20,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",crystal:0:structure,mdash:0:h,1,10.1107/S010827019809982X
Determination of this structure,new insights,provide,Determination of this structure will provide new insights into the substratespecificity of this acetyltransferase and the thermal stability of the Nacetyltransferase domain,10,1,2,14,provide,43,"{'furnish', 'allow', 'leave', 'provide', 'ply', 'render', 'supply', 'cater'}",structure:0:determination,new:0:insight,1,10.1107/S174430910500223X
apex of the pyramid,O atom,is occupied by,The apex of the pyramid is occupied by the O atom of the coordinated water molecule at a distance of 2384 emsp14 3 emsp14  Aring ,6,2,6,20,occupy,16,"{'busy', 'take', 'engross', 'interest', 'invade', 'occupy', 'inhabit', 'fill', 'concern', 'worry', 'engage', 'absorb', 'reside'}",pyramid:0:apex,o:0:atom,1,10.1107/S010827019701305X
hydrogen bonds,infinite chains,forming,The monomers are associated through hydrogen bonds forming infinite chains,20,46,5,9,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",hydrogen:0:bond,infinite:0:chain,1,10.1107/S010827019701305X
each CuII ion,coordination environment,has,In the title compound Cu2C9H7NO32C4H4N2C4H8O2 each CuII ion has a square pyramidal coordination environment with a tridentate Nsalicylideneglycinato Schiff base dianion and a pyrazine ligand bound in the basal plane,96,1,3,24,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",cuii:0:ion,coordination:0:environment,1,10.1107/S0108270197013061
bifunctional ligand,base complexes,joining,The pyrazine ligand acts as a bifunctional ligand joining two Schiff base complexes to form binuclear units,1,1,1,20,join,9,"{'join', 'conjoin', 'unite', 'link', 'connect'}",bifunctional:0:ligand,base:0:complex,1,10.1107/S0108270197013061
base complexes,binuclear units,to form,The pyrazine ligand acts as a bifunctional ligand joining two Schiff base complexes to form binuclear units,8,1,1,9,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",base:0:complex,binuclear:0:unit,1,10.1107/S0108270197013061
apex of the pyramid,O atom,is occupied by,The apex of the pyramid is occupied by a dioxane O atom at an apical distance of 2510 emsp14 2 emsp14  Aring ,6,2,6,26,occupy,16,"{'busy', 'take', 'engross', 'interest', 'invade', 'occupy', 'inhabit', 'fill', 'concern', 'worry', 'engage', 'absorb', 'reside'}",pyramid:0:apex,o:0:atom,1,10.1107/S0108270197013061
title compound,CoII ion,prepared from,In the title compound CoC10H7O2N22H2O2 prepared from neocupferron and NH42CoSO42H2O6 the CoII ion has slightly distorted octahedral coordination defined by six O atoms from the two bidentate ligands and the two water molecules in the cis form Co mdash O  2073 emsp14 2 ndash 2124 emsp14 3 emsp14  Aring ,1,195,1,68,prepare,7,"{'train', 'cook', 'devise', 'set', 'educate', 'prepare', 'develop', 'machinate', 'organise', 'organize', 'groom', 'ready', 'fix'}",title:0:compound,coii:0:ion,1,10.1107/S0108270197013620
CoII ion,octahedral coordination,has,In the title compound CoC10H7O2N22H2O2 prepared from neocupferron and NH42CoSO42H2O6 the CoII ion has slightly distorted octahedral coordination defined by six O atoms from the two bidentate ligands and the two water molecules in the cis form Co mdash O  2073 emsp14 2 ndash 2124 emsp14 3 emsp14  Aring ,96,3,9,24,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",coii:0:ion,octahedral:0:coordination,1,10.1107/S0108270197013620
CoII ion,octahedral coordination,distorted,In the title compound CoC10H7O2N22H2O2 prepared from neocupferron and NH42CoSO42H2O6 the CoII ion has slightly distorted octahedral coordination defined by six O atoms from the two bidentate ligands and the two water molecules in the cis form Co mdash O  2073 emsp14 2 ndash 2124 emsp14 3 emsp14  Aring ,2,3,9,24,distort,5,"{'twine', 'wring', 'garble', 'deform', 'warp', 'color', 'tinge', 'twist', 'contort', 'falsify', 'strain', 'distort', 'colour'}",coii:0:ion,octahedral:0:coordination,1,10.1107/S0108270197013620
nitrosohydroxylaminato group,naphthyl ring,is twisted,The plane of the nitrosohydroxylaminato group is twisted out of the plane of the naphthyl ring,3,1,1,36,twist,13,"{'worm', 'wrick', 'sophisticate', 'rick', 'convolute', 'bend', 'deform', 'flex', 'wrench', 'wriggle', 'twist', 'writhe', 'sprain', 'twine', 'wrestle', 'pervert', 'distort', 'squirm'}",nitrosohydroxylaminato:0:group,naphthyl:0:ring,1,10.1107/S0108270197013620
plane of the nitrosohydroxylaminato group,plane of the naphthyl ring,is twisted,The plane of the nitrosohydroxylaminato group is twisted out of the plane of the naphthyl ring,3,1,1,23,twist,13,"{'worm', 'wrick', 'sophisticate', 'rick', 'convolute', 'bend', 'deform', 'flex', 'wrench', 'wriggle', 'twist', 'writhe', 'sprain', 'twine', 'wrestle', 'pervert', 'distort', 'squirm'}",nitrosohydroxylaminato:0:group:1:plane,naphthyl:0:ring:1:plane,2,10.1107/S0108270197013620
silver nitrate,binuclear complex,produces,The reaction of di2pyridyl sulfide with silver nitrate produces a centrosymmetric binuclear complex bisdi2pyridyl sulfideNN prime ,1,1,1,28,produce,14,"{'acquire', 'make', 'produce', 'raise', 'develop', 'farm', 'create', 'grow'}",silver:0:nitrate,binuclear:0:complex,1,10.1107/S0108270197014911
title compound,unexpected product,obtained as,The title compound C9H11NO2 was obtained as an unexpected product in an attempt to synthesize a triazene ligand,5,195,1,29,obtain,42,"{'receive', 'get', 'obtain', 'incur', 'prevail'}",title:0:compound,unexpected:0:product,1,10.1107/S160053681200205X
formamide and ethoxy groups,mean plane of the benzene ring,oriented at,The title molecule is almost planar with the formamide and ethoxy groups oriented at 27 emsp14 3 and 129 emsp14 2 deg  respectively with respect to the mean plane of the benzene ring,1,1,1,80,orient,8,"{'orientate', 'point', 'orient'}",ethoxy:0:formamide:1:group,benzene:0:ring:1:mean:0:plane,2,10.1107/S160053681200205X
title compound,sofa conformation,adopts,The cyclohexene ring in the title compound C15H18INO2 adopts a sofa conformation,30,195,3,21,adopt,39,"{'acquire', 'embrace', 'take', 'dramatise', 'dramatize', 'assume', 'borrow', 'follow', 'espouse', 'adopt'}",title:0:compound,sofa:0:conformation,1,10.1107/S1600536812002255
molecular conformation,mdash H,features,The molecular conformation features an N mdash H,18,6,121,15,feature,19,"{'sport', 'feature', 'boast', 'have'}",molecular:0:conformation,mdash:0:h,1,10.1107/S1600536812002255
title compound,bromobenzene units,consists of,The title compound C14H11BrClNO consists of chlorobenzene and bromobenzene units which are linked at either end of the Nmethylpropionamide group,35,195,1,44,consist,41,"{'lie', 'consist', 'belong', 'dwell', 'comprise'}",title:0:compound,bromobenzene:0:unit,1,10.1107/S1600536812002383
maximum deviation,dihedral angle,makes,The chlorobenzene unit maximum deviation  0005 emsp14 4 emsp14  Aring  makes a dihedral angle of 6821 emsp14 19 deg  with the bromobenzene unit maximum deviation  0012 emsp14 3 emsp14  Aring ,20,3,27,39,make,60,"{'make', 'produce', 'induce', 'draw', 'stimulate', 'do', 'create', 'cause'}",maximum:0:deviation,dihedral:0:angle,1,10.1107/S1600536812002383
azaaromatic chlorides,short H,observed,As in the case of the earlier known azaaromatic chlorides and iodides we also observed a short H,2,1,1,32,observe,29,"{'find', 'observe', 'discover', 'notice', 'watch', 'keep', 'note', 'celebrate', 'honor', 'respect', 'mention', 'remark', 'honour', 'detect'}",azaaromatic:0:chloride,short:0:h,1,10.1107/S1600536802005366
title compound,Krishnamachari  amp  ,agrees with,The redetermination of the structure of the title compound Co2P2O7 agrees with the results previously reported by Krishnamachari  amp  Calvo Acta Cryst,1,195,1,56,agree,1,"{'match', 'harmonise', 'fit', 'concur', 'gibe', 'consort', 'correspond', 'jibe', 'concord', 'harmonize', 'agree', 'check', 'tally', 'accord'}",title:0:compound,krishnamachari:0:amp,1,10.1107/S1600536802005342
bifunctional enzyme,phosphorylation of riboflavin,catalyses,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively,2,1,1,20,catalyse,2,"{'catalyze', 'catalyse'}",bifunctional:0:enzyme,riboflavin:0:phosphorylation,1,10.1107/S1744309109044789
cubic crystals,space group,belonged to,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively,8,1,18,87,belong,11,"{'lie', 'consist', 'belong', 'dwell'}",cubic:0:crystal,space:0:group,1,10.1107/S1744309109044789
FAD synthetase from Corynebacterium,phosphorylation of riboflavin as well as the adenylylation of FMN,catalyses,FAD synthetase from Corynebacterium ammoniagenes CaFADS a prokaryotic bifunctional enzyme that catalyses the phosphorylation of riboflavin as well as the adenylylation of FMN has been crystallized using the hangingdrop vapourdiffusion method at 277 emsp14 K Diffractionquality cubic crystals of native and selenomethioninelabelled SeMetCaFADS protein belonged to the cubic nbsp space group P213 with unitcell parameters a  b  c  13347 emsp14  Aring  and a nbsp  nbsp b nbsp  nbsp c nbsp  nbsp 13340 emsp14  Aring  respectively,2,1,1,74,catalyse,2,"{'catalyze', 'catalyse'}",corynebacterium:1:fad:0:synthetase,fmn:0:adenylylation:1:riboflavin:0:phosphorylation,2,10.1107/S1744309109044789
general positions,special positions,form,Three crystallographically independent Na atoms and four pairs of water molecules occupying general positions form the link between the other two independent Na atoms occupying special positions on the inversion centres in the crystal of tetradecaaquatetrasodium hexaaquanickelII,20,1,4,68,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",general:0:position,special:0:position,1,10.1107/S1600536802005421
centrosymmetric sites,vanadyl atoms,are coordinated by,Each of the two independent Na atoms which occupy centrosymmetric sites are coordinated by one of the vanadyl atoms of one of the two independent centrosymmetric V10O286 minus  hexaanions thus effectively linking the chains into infinite layered structure,3,1,1,31,coordinate,62,"{'coordinate', 'organise', 'organize', 'align', 'ordinate'}",centrosymmetric:0:site,vanadyl:0:atom,1,10.1107/S1600536802005421
independent centrosymmetric,layered structure,linking,Each of the two independent Na atoms which occupy centrosymmetric sites are coordinated by one of the vanadyl atoms of one of the two independent centrosymmetric V10O286 minus  hexaanions thus effectively linking the chains into infinite layered structure,4,1,1,77,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",independent:0:centrosymmetric,layer:0:structure,1,10.1107/S1600536802005421
Cu atom,coordination geometry,has,In this monomeric compound the Cu atom has a tetrahedral coordination geometry with a P3CuS core,96,3,1,19,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",cu:0:atom,coordination:0:geometry,1,10.1107/S1600536802005810
ZnII centers,coordination environments,exhibit,In the title coordination compound ZnC12H6O4C14H14N4n the two ZnII centers exhibit different coordination environments,3,1,1,19,exhibit,25,"{'display', 'march', 'demo', 'show', 'expose', 'parade', 'demonstrate', 'present', 'exhibit'}",znii:0:center,coordination:0:environment,1,10.1107/S0108270109029084
title coordination compound,different coordination environments,exhibit,In the title coordination compound ZnC12H6O4C14H14N4n the two ZnII centers exhibit different coordination environments,3,1,1,49,exhibit,25,"{'display', 'march', 'demo', 'show', 'expose', 'parade', 'demonstrate', 'present', 'exhibit'}",title:0:coordination:1:compound,different:1:coordination:0:environment,2,10.1107/S0108270109029084
Structural comparison,general model,allows,Structural comparison with other DNAbinding proteins allows a general model for the interaction of G1P with the packaginginitiation site to be proposed,21,1,1,41,allow,33,"{'earmark', 'allow', 'leave', 'let', 'provide', 'admit', 'reserve', 'grant', 'appropriate', 'countenance', 'permit'}",structural:0:comparison,general:0:model,1,10.1107/S1744309113004399
single enantiomer,framework structure,are linked into,2S4R2exo2Chlorophenyl2345tetrahydro1H14epoxy1benzazepine C16H14ClNO IV crystallizes as a single enantiomer and the molecules are linked into a threedimensional framework structure by a combination of one C mdash H,7,1,1,54,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",single:0:enantiomer,framework:0:structure,1,10.1107/S0108270109030339
crystal structure,better understanding,helps,The direct observation of crystal structure at ultralow temperatures helps better understanding of phase transformations and phase stability,2,68,1,32,help,10,"{'facilitate', 'help', 'avail', 'assist', 'serve', 'aid'}",crystal:0:structure,well:0:understand,1,10.1107/S0021889894013087
direct observation of crystal structure,phase transformations and phase stability,helps,The direct observation of crystal structure at ultralow temperatures helps better understanding of phase transformations and phase stability,2,1,1,56,help,10,"{'facilitate', 'help', 'avail', 'assist', 'serve', 'aid'}",crystal:0:structure:1:direct:0:observation,phase:0:stability:1:phase:0:transformation,2,10.1107/S0021889894013087
2 thetas B,temperature and other factors,is discussed on,The disappearance of downward diffraction Laue spots 2 thetas B  90 deg  is discussed on the basis of the temperature and other factors in solid helium,3,1,1,43,discuss,16,"{'discuss', 'discourse'}",theta:0:b,factor:0:temperature,1,10.1107/S0021889894013087
downward diffraction Laue spots,temperature and other factors in solid helium,is discussed on,The disappearance of downward diffraction Laue spots 2 thetas B  90 deg  is discussed on the basis of the temperature and other factors in solid helium,3,1,1,54,discuss,16,"{'discuss', 'discourse'}",downward:0:diffraction:1:laue:0:spot,solid:0:helium:1:factor:0:temperature,2,10.1107/S0021889894013087
transition temperature,example of diffractometry,explained as,A splitting of the Laue spots from Cs2NaHoCl6 below 150 emsp14 mK giving evidence of a cooperative Jahn ndash Teller transition of the first kind at the lowest transition temperature ever observed is briefly explained as an example of diffractometry,1,1,1,42,explain,6,"{'excuse', 'explain', 'explicate'}",transition:0:temperature,diffractometry:0:example,1,10.1107/S0021889894013087
different wavelengths,bone tissue,applied in,A combination of Xray tomography at different wavelengths and Xray fluorescence analysis was applied in the study of two types of bone tissue changes prolonged presence in microgravity conditions and agerelated bone growth,1,1,1,73,apply,19,"{'utilize', 'use', 'implement', 'apply', 'utilise', 'practice', 'enforce', 'employ'}",different:0:wavelength,bone:0:tissue,1,10.1107/S1600576715006214
tail vertebrae,supporting load,were selected for,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,2,4,4,72,select,2,"{'select', 'choose'}",tail:0:vertebra,support:0:load,1,10.1107/S1600576715006214
tail vertebrae,supporting load,do,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,7,4,4,72,do,32,"{'make', 'act', 'execute', 'behave', 'answer', 'perform', 'do', 'suffice', 'practise', 'practice', 'cause', 'fare', 'exercise'}",tail:0:vertebra,support:0:load,1,10.1107/S1600576715006214
tail vertebrae,supporting load,bear,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,2,4,4,72,bear,4,"{'hold', 'digest', 'stand', 'suffer', 'endure', 'assume', 'birth', 'carry', 'stomach', 'tolerate', 'contain', 'bear', 'abide', 'accept', 'brook', 'wear', 'pay'}",tail:0:vertebra,support:0:load,1,10.1107/S1600576715006214
tail vertebrae,supporting load,to be,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,22,4,4,72,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",tail:0:vertebra,support:0:load,1,10.1107/S1600576715006214
supporting load,independent indicator,to be,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,22,1,1,56,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",support:0:load,independent:0:indicator,1,10.1107/S1600576715006214
proximal tail vertebrae,supporting load in locomotion,were selected for,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,2,4,4,72,select,2,"{'select', 'choose'}",proximal:1:tail:0:vertebra,locomotion:1:support:0:load,2,10.1107/S1600576715006214
proximal tail vertebrae,supporting load in locomotion,do,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,7,4,4,72,do,32,"{'make', 'act', 'execute', 'behave', 'answer', 'perform', 'do', 'suffice', 'practise', 'practice', 'cause', 'fare', 'exercise'}",proximal:1:tail:0:vertebra,locomotion:1:support:0:load,2,10.1107/S1600576715006214
proximal tail vertebrae,supporting load in locomotion,bear,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,2,4,4,72,bear,4,"{'hold', 'digest', 'stand', 'suffer', 'endure', 'assume', 'birth', 'carry', 'stomach', 'tolerate', 'contain', 'bear', 'abide', 'accept', 'brook', 'wear', 'pay'}",proximal:1:tail:0:vertebra,locomotion:1:support:0:load,2,10.1107/S1600576715006214
proximal tail vertebrae,supporting load in locomotion,to be,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,22,4,4,72,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",proximal:1:tail:0:vertebra,locomotion:1:support:0:load,2,10.1107/S1600576715006214
supporting load in locomotion,independent indicator of gravitational influence,to be,The proximal tail vertebrae of geckos were selected for investigation because they do not bear the supporting load in locomotion which allows them to be considered as an independent indicator of gravitational influence,22,1,1,42,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",locomotion:1:support:0:load,gravitational:0:influence:1:independent:0:indicator,2,10.1107/S1600576715006214
significant differences,elemental composition,were revealed in,For the vertebrae of geckos no significant differences were revealed in the elemental composition of the flight samples and the synchronous control samples,1,3,1,22,reveal,24,"{'display', 'reveal', 'show', 'expose', 'discover', 'disclose', 'impart', 'divulge', 'uncover', 'unveil'}",significant:0:difference,elemental:0:composition,1,10.1107/S1600576715006214
structural changes,fetal hand,studied,The dynamics of structural changes in the bone tissue growth was studied using samples of a human fetal hand,5,2,2,64,study,14,"{'canvas', 'meditate', 'consider', 'read', 'examine', 'analyse', 'contemplate', 'analyze', 'canvass', 'learn', 'study'}",structural:0:change,fetal:0:hand,1,10.1107/S1600576715006214
structural changes,fetal hand,using,The dynamics of structural changes in the bone tissue growth was studied using samples of a human fetal hand,109,2,2,64,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",structural:0:change,fetal:0:hand,1,10.1107/S1600576715006214
bone tissue growth,human fetal hand,studied,The dynamics of structural changes in the bone tissue growth was studied using samples of a human fetal hand,5,2,2,32,study,14,"{'canvas', 'meditate', 'consider', 'read', 'examine', 'analyse', 'contemplate', 'analyze', 'canvass', 'learn', 'study'}",bone:0:tissue:1:growth,human:1:fetal:0:hand,2,10.1107/S1600576715006214
bone tissue growth,human fetal hand,using,The dynamics of structural changes in the bone tissue growth was studied using samples of a human fetal hand,109,2,2,32,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",bone:0:tissue:1:growth,human:1:fetal:0:hand,2,10.1107/S1600576715006214
structural changes in the bone tissue growth,samples of a human fetal hand,studied,The dynamics of structural changes in the bone tissue growth was studied using samples of a human fetal hand,5,2,2,19,study,14,"{'canvas', 'meditate', 'consider', 'read', 'examine', 'analyse', 'contemplate', 'analyze', 'canvass', 'learn', 'study'}",bone:0:tissue:1:growth:2:structural:0:change,human:1:fetal:0:hand:2:sample,3,10.1107/S1600576715006214
structural changes in the bone tissue growth,samples of a human fetal hand,using,The dynamics of structural changes in the bone tissue growth was studied using samples of a human fetal hand,109,2,2,19,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",bone:0:tissue:1:growth:2:structural:0:change,human:1:fetal:0:hand:2:sample,3,10.1107/S1600576715006214
calcium accumulation,individual fingers,were found,Autonomous zones of calcium accumulation were found not only in individual fingers but in each of the investigated phalanges,2,1,1,24,found,30,"{'plant', 'base', 'establish', 'constitute', 'institute', 'found', 'launch'}",calcium:0:accumulation,individual:0:finger,1,10.1107/S1600576715006214
Autonomous zones of calcium accumulation,in individual fingers but in each of the investigated phalanges,were found,Autonomous zones of calcium accumulation were found not only in individual fingers but in each of the investigated phalanges,2,1,1,21,found,30,"{'plant', 'base', 'establish', 'constitute', 'institute', 'found', 'launch'}",calcium:0:accumulation:1:autonomous:0:zone,investigate:0:phalanx:1:individual:0:finger,2,10.1107/S1600576715006214
pyrophosphate groups,potassium ions,joined by,The structure consists of alternating layers built from HP2O73 minus  acidic pyrophosphate groups and CoO6 octahedra joined by potassium ions and bridging hydrogen bonds,4,1,1,30,join,9,"{'join', 'conjoin', 'unite', 'link', 'connect'}",pyrophosphate:0:group,potassium:0:ion,1,10.1107/S0108270103010084
acidic pyrophosphate groups,bridging hydrogen bonds,joined by,The structure consists of alternating layers built from HP2O73 minus  acidic pyrophosphate groups and CoO6 octahedra joined by potassium ions and bridging hydrogen bonds,4,1,1,49,join,9,"{'join', 'conjoin', 'unite', 'link', 'connect'}",acidic:1:pyrophosphate:0:group,bridge:1:hydrogen:0:bond,2,10.1107/S0108270103010084
water O,mirror planes,lie on,The Co K and water O atoms lie on mirror planes,4,2,2,14,lie,39,"{'lie', 'consist', 'belong', 'dwell', 'rest'}",water:0:o,mirror:0:plane,1,10.1107/S0108270103010084
mechanical compatibility,convenient extension,allows,Furthermore its mechanical compatibility with a standard VLS planegrating monochromator allows convenient extension into the softXray range,21,1,1,55,allow,33,"{'earmark', 'allow', 'leave', 'let', 'provide', 'admit', 'reserve', 'grant', 'appropriate', 'countenance', 'permit'}",mechanical:0:compatibility,convenient:0:extension,1,10.1107/S1600577514025260
crystal structure,profile technique,using,Analysis of a crystal structure using the Rietveld profile technique requires a suitable description of the shape of the peaks,109,68,1,20,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",crystal:0:structure,profile:0:technique,1,10.1107/S0021889894004218
profile technique,suitable description,requires,Analysis of a crystal structure using the Rietveld profile technique requires a suitable description of the shape of the peaks,4,1,1,12,require,14,"{'demand', 'take', 'need', 'expect', 'postulate', 'necessitate', 'ask', 'require', 'want', 'command', 'involve', 'compel'}",profile:0:technique,suitable:0:description,1,10.1107/S0021889894004218
Rietveld profile technique,suitable description of the shape of the peaks,requires,Analysis of a crystal structure using the Rietveld profile technique requires a suitable description of the shape of the peaks,4,1,1,12,require,14,"{'demand', 'take', 'need', 'expect', 'postulate', 'necessitate', 'ask', 'require', 'want', 'command', 'involve', 'compel'}",rietveld:1:profile:0:technique,peak:0:shape:1:suitable:0:description,2,10.1107/S0021889894004218
accurate formulations,peak asymmetry,used for,In general modern refinement codes include accurate formulations for most effects however the functions used for peak asymmetry are semiempirical and take very little account of diffraction optics,1,1,1,49,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",accurate:0:formulation,peak:0:asymmetry,1,10.1107/S0021889894004218
peak asymmetry,very little account,take,In general modern refinement codes include accurate formulations for most effects however the functions used for peak asymmetry are semiempirical and take very little account of diffraction optics,2,1,1,28,take,21,"{'demand', 'conduct', 'acquire', 'take', 'postulate', 'occupy', 'read', 'necessitate', 'convey', 'ask', 'lead', 'direct', 'involve', 'need', 'assume', 'guide', 'bring', 'require', 'adopt'}",peak:0:asymmetry,little:0:account,1,10.1107/S0021889894004218
functions used for peak asymmetry,very little account of diffraction optics,take,In general modern refinement codes include accurate formulations for most effects however the functions used for peak asymmetry are semiempirical and take very little account of diffraction optics,2,1,1,28,take,21,"{'demand', 'conduct', 'acquire', 'take', 'postulate', 'occupy', 'read', 'necessitate', 'convey', 'ask', 'lead', 'direct', 'involve', 'need', 'assume', 'guide', 'bring', 'require', 'adopt'}",peak:0:asymmetry:1:function,diffraction:0:optic:1:little:0:account,2,10.1107/S0021889894004218
