subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,stem,stem freq,synonyms,pred term,sub term,obj term,level,doc ID,changes
positions of the monomers,adaptability of the ring structure,shifted in,The positions of the monomers are slightly shifted in the decamer confirming the adaptability of the ring structure,2,4,2,52,8,shift,9,"{'wobble', 'careen', 'reposition', 'lurch', 'switch', 'tilt', 'agitate', 'dislodge', 'stir', 'budge', 'transfer', 'pitch', 'shift'}",shifted in,monomer:0:position,ring:0:structure:1:adaptability,2,10.1107/S1744309111029228,postfix: in
positions of the monomers,adaptability of the ring structure,confirming,The positions of the monomers are slightly shifted in the decamer confirming the adaptability of the ring structure,2,4,2,52,8,confirm,14,"{'sustain', 'substantiate', 'support', 'corroborate', 'reassert', 'affirm', 'confirm'}",confirming,monomer:0:position,ring:0:structure:1:adaptability,2,10.1107/S1744309111029228,
stabilization of native HRSVN,mainly ionic interactions,is via,The details of the interring contacts in one crystal form revealed here suggest a basis for helical packing and that the stabilization of native HRSVN is via mainly ionic interactions,1,1,1,8,2,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",is via,native:0:hrsvn:1:stabilization,mainly:0:ionic:1:interaction,2,10.1107/S0021889873008976,postfix: via
cooled sample,examination temperatures,be warmed to,Moreover the cooled sample can then be warmed to defined examination temperatures either stepwise or continuously,3,3,1,31,6,warm,3,{'warm'},be:0:warmed to,cool:0:sample,examination:0:temperature,1,10.1107/S0021889873008976,"conjugated with: be, postfix: to"
cooled sample,defined examination temperatures,be warmed to,Moreover the cooled sample can then be warmed to defined examination temperatures either stepwise or continuously,3,3,1,23,5,warm,3,{'warm'},be:0:warmed to,cool:0:sample,define:1:examination:0:temperature,2,10.1107/S0021889873008976,"conjugated with: be, postfix: to"
cooled sample,defined examination temperatures either stepwise or continuously,be warmed to,Moreover the cooled sample can then be warmed to defined examination temperatures either stepwise or continuously,3,3,1,23,5,warm,3,{'warm'},be:0:warmed to,cool:0:sample,continuously:0:stepwise:2:define:1:examination:0:temperature,3,10.1107/S0021889873008976,"conjugated with: be, postfix: to"
application of the camera,diffraction pattern,is illustrated by,The application of the camera is illustrated by a diffraction pattern of a biological specimen,5,2,1,21,4,illustrate,5,"{'illustrate', 'instance', 'exemplify'}",is:0:illustrated by,camera:0:application,diffraction:0:pattern,1,10.1107/S0108768197008549,"conjugated with: is, postfix: by"
application of the camera,diffraction pattern of a biological specimen,is illustrated by,The application of the camera is illustrated by a diffraction pattern of a biological specimen,5,2,1,21,4,illustrate,5,"{'illustrate', 'instance', 'exemplify'}",is:0:illustrated by,camera:0:application,biological:0:speciman:1:diffraction:0:pattern,2,10.1107/S0108768197008549,"conjugated with: is, postfix: by"
main classes,earth metals,were distinguished,Two main classes were distinguished a alkali and alkaline earth metals and b metals of Zn and Cu groups and transition metals group VIII,2,1,2,42,6,distinguish,2,"{'discern', 'name', 'distinguish', 'mark', 'key', 'differentiate', 'signalize', 'secern', 'tell', 'identify', 'recognise', 'separate', 'discover', 'recognize', 'describe'}",were:0:distinguished,main:0:class,earth:0:metal,1,10.1107/S0108768197008549,conjugated with: were
Two main classes,earth metals,were distinguished,Two main classes were distinguished a alkali and alkaline earth metals and b metals of Zn and Cu groups and transition metals group VIII,2,1,2,42,6,distinguish,2,"{'discern', 'name', 'distinguish', 'mark', 'key', 'differentiate', 'signalize', 'secern', 'tell', 'identify', 'recognise', 'separate', 'discover', 'recognize', 'describe'}",were:0:distinguished,two:1:main:0:class,earth:0:metal,2,10.1107/S0108768197008549,conjugated with: were
Good correlations,oxidation state and charge,were found between,Good correlations were found between the nature of the metal radius oxidation state and charge and its position relative to the thiocyanate unit,7,2,1,51,9,found,54,"{'launch', 'plant', 'institute', 'found', 'base', 'constitute', 'establish'}",were:0:found between,good:0:correlation,charge:0:oxidation:0:state,1,10.1107/S0108768197008549,"conjugated with: were, postfix: between"
Good correlations,position relative to the thiocyanate unit,were found between,Good correlations were found between the nature of the metal radius oxidation state and charge and its position relative to the thiocyanate unit,7,2,1,86,15,found,54,"{'launch', 'plant', 'institute', 'found', 'base', 'constitute', 'establish'}",were:0:found between,good:0:correlation,thiocyanate:0:unit:1:relative:2:position,3,10.1107/S0108768197008549,"conjugated with: were, postfix: between"
metal complexes,anionic charge,provokes,In metal complexes the cation provokes a redistribution of anionic charge in SCN and the distribution of electron density in turn controls the hydrogenbonding properties of the terminal acceptor atom,3,3,1,41,6,provoke,3,"{'kindle', 'elicit', 'arouse', 'hassle', 'plague', 'molest', 'evoke', 'stimulate', 'enkindle', 'fire', 'beset', 'chivy', 'harass', 'harry', 'chevvy', 'chivvy', 'provoke', 'chevy'}",provokes,metal:0:complex,anionic:0:charge,1,10.1107/S0108768197008549,
electron density,acceptor atom,controls,In metal complexes the cation provokes a redistribution of anionic charge in SCN and the distribution of electron density in turn controls the hydrogenbonding properties of the terminal acceptor atom,3,6,1,65,9,control,5,"{'ascertain', 'assure', 'command', 'curb', 'moderate', 'check', 'insure', 'control', 'ensure', 'master', 'contain', 'verify', 'hold', 'operate', 'manipulate'}",controls,electron:0:density,acceptor:0:atom,1,10.1107/S0108768197008549,
metal complexes,anionic charge in SCN,provokes,In metal complexes the cation provokes a redistribution of anionic charge in SCN and the distribution of electron density in turn controls the hydrogenbonding properties of the terminal acceptor atom,3,3,1,41,6,provoke,3,"{'kindle', 'elicit', 'arouse', 'hassle', 'plague', 'molest', 'evoke', 'stimulate', 'enkindle', 'fire', 'beset', 'chivy', 'harass', 'harry', 'chevvy', 'chivvy', 'provoke', 'chevy'}",provokes,metal:0:complex,scn:1:anionic:0:charge,2,10.1107/S0108768197008549,
distribution of electron density,terminal acceptor atom,controls,In metal complexes the cation provokes a redistribution of anionic charge in SCN and the distribution of electron density in turn controls the hydrogenbonding properties of the terminal acceptor atom,3,1,2,56,8,control,5,"{'ascertain', 'assure', 'command', 'curb', 'moderate', 'check', 'insure', 'control', 'ensure', 'master', 'contain', 'verify', 'hold', 'operate', 'manipulate'}",controls,electron:0:density:1:distribution,terminal:1:acceptor:0:atom,2,10.1107/S0108768197008549,
metal complexes,redistribution of anionic charge in SCN and the distribution of electron density,provokes,In metal complexes the cation provokes a redistribution of anionic charge in SCN and the distribution of electron density in turn controls the hydrogenbonding properties of the terminal acceptor atom,3,3,1,23,4,provoke,3,"{'kindle', 'elicit', 'arouse', 'hassle', 'plague', 'molest', 'evoke', 'stimulate', 'enkindle', 'fire', 'beset', 'chivy', 'harass', 'harry', 'chevvy', 'chivvy', 'provoke', 'chevy'}",provokes,metal:0:complex,electron:0:density:1:distribution:2:scn:1:anionic:0:charge:2:redistribution,3,10.1107/S0108768197008549,
redistribution of anionic charge in SCN and the distribution of electron density,terminal acceptor atom,controls,In metal complexes the cation provokes a redistribution of anionic charge in SCN and the distribution of electron density in turn controls the hydrogenbonding properties of the terminal acceptor atom,3,1,2,56,8,control,5,"{'ascertain', 'assure', 'command', 'curb', 'moderate', 'check', 'insure', 'control', 'ensure', 'master', 'contain', 'verify', 'hold', 'operate', 'manipulate'}",controls,electron:0:density:1:distribution:2:scn:1:anionic:0:charge:2:redistribution,terminal:1:acceptor:0:atom,3,10.1107/S0108768197008549,
Nodaviridae family,viral protein,encodes,Wuhan nodavirus WhNV which is a new member of the Nodaviridae family encodes a viral protein B2 that suppresses RNA silencing and hostcell RNA interference RNAimediated immunity,2,1,2,11,2,encode,2,"{'encode', 'encrypt', 'code', 'encipher', 'cipher', 'inscribe', 'cypher'}",encodes,nodaviridae:0:family,viral:0:protein,1,10.1107/S1744309113024184,
new member of the Nodaviridae family,viral protein,encodes,Wuhan nodavirus WhNV which is a new member of the Nodaviridae family encodes a viral protein B2 that suppresses RNA silencing and hostcell RNA interference RNAimediated immunity,2,1,2,11,2,encode,2,"{'encode', 'encrypt', 'code', 'encipher', 'cipher', 'inscribe', 'cypher'}",encodes,nodaviridae:0:family:1:new:0:member,viral:0:protein,2,10.1107/S1744309113024184,
structural details,WhNV B2 protein,to compare,To gain a better understanding of the structural details and the mechanism of suppression of RNA silencing by WhNV B2 and to compare it with FHV B2 recombinant WhNV B2 protein has been overexpressed in Escherichia coli purified and crystallized at 291 emsp14 K using PEG 4000 as a precipitant,5,2,1,104,19,compare,59,"{'equate', 'compare', 'liken'}",to compare,structural:0:detail,whnv:0:protein,1,10.1107/S1744309113024184,prefix: to
WhNV B2 protein,Escherichia coli,has been,To gain a better understanding of the structural details and the mechanism of suppression of RNA silencing by WhNV B2 and to compare it with FHV B2 recombinant WhNV B2 protein has been overexpressed in Escherichia coli purified and crystallized at 291 emsp14 K using PEG 4000 as a precipitant,60,1,13,27,4,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",has:0:been,whnv:0:protein,escherichia:0:coli,1,10.1107/S1744309113024184,conjugated with: has
structural details,recombinant WhNV B2 protein,to compare,To gain a better understanding of the structural details and the mechanism of suppression of RNA silencing by WhNV B2 and to compare it with FHV B2 recombinant WhNV B2 protein has been overexpressed in Escherichia coli purified and crystallized at 291 emsp14 K using PEG 4000 as a precipitant,5,2,2,92,18,compare,59,"{'equate', 'compare', 'liken'}",to compare,structural:0:detail,recombinant:1:whnv:0:protein,2,10.1107/S1744309113024184,prefix: to
recombinant WhNV B2 protein,Escherichia coli,has been,To gain a better understanding of the structural details and the mechanism of suppression of RNA silencing by WhNV B2 and to compare it with FHV B2 recombinant WhNV B2 protein has been overexpressed in Escherichia coli purified and crystallized at 291 emsp14 K using PEG 4000 as a precipitant,60,1,13,27,4,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",has:0:been,recombinant:1:whnv:0:protein,escherichia:0:coli,2,10.1107/S1744309113024184,conjugated with: has
suppression of RNA silencing by WhNV B2,recombinant WhNV B2 protein,to compare,To gain a better understanding of the structural details and the mechanism of suppression of RNA silencing by WhNV B2 and to compare it with FHV B2 recombinant WhNV B2 protein has been overexpressed in Escherichia coli purified and crystallized at 291 emsp14 K using PEG 4000 as a precipitant,5,1,2,31,7,compare,59,"{'equate', 'compare', 'liken'}",to compare,whnv:1:rna:0:silence:2:suppression,recombinant:1:whnv:0:protein,3,10.1107/S1744309113024184,prefix: to
resolution data,single crystal,has been collected from,A 28 emsp14  Aring  resolution data set has been collected from a single crystal at 100 emsp14 K This crystal belonged to space group P212121 with unitcell parameters a  273 b  456 c  1339 emsp14  Aring   alpha    ,2,1,4,31,6,collect,34,"{'garner', 'gather', 'amass', 'collect', 'hoard', 'compile', 'accumulate'}",has been:0:collected from,resolution:0:datum,single:0:crystal,1,10.1107/S1744309113024184,"conjugated with: has been, postfix: from"
single crystal,space group,belonged to,A 28 emsp14  Aring  resolution data set has been collected from a single crystal at 100 emsp14 K This crystal belonged to space group P212121 with unitcell parameters a  273 b  456 c  1339 emsp14  Aring   alpha    ,14,1,26,42,8,belong,23,"{'dwell', 'consist', 'lie', 'belong'}",belonged to,single:0:crystal,space:0:group,1,10.1107/S1744309113024184,postfix: to
emsp14  Aring  resolution data,single crystal,has been collected from,A 28 emsp14  Aring  resolution data set has been collected from a single crystal at 100 emsp14 K This crystal belonged to space group P212121 with unitcell parameters a  273 b  456 c  1339 emsp14  Aring   alpha    ,2,1,4,31,6,collect,34,"{'garner', 'gather', 'amass', 'collect', 'hoard', 'compile', 'accumulate'}",has been:0:collected from,aring:1:resolution:0:datum,single:0:crystal,2,10.1107/S1744309113024184,"conjugated with: has been, postfix: from"
title compound,cadmium cations,is composed of,The asymmetric unit in the title compound Cd2C4H4O6SO4H2O5 middot 3H2On is composed of two cadmium cations one RRtartrate and one sulfate anion five aqua ligands and three solvent water molecules,10,304,2,50,7,compose,13,"{'compose', 'indite', 'frame', 'write', 'pen', 'compile'}",is:0:composed of,title:0:compound,cadmium:0:cation,1,10.1107/S0108270107027862,"conjugated with: is, postfix: of"
asymmetric unit in the title compound,cadmium cations,is composed of,The asymmetric unit in the title compound Cd2C4H4O6SO4H2O5 middot 3H2On is composed of two cadmium cations one RRtartrate and one sulfate anion five aqua ligands and three solvent water molecules,10,1,2,50,7,compose,13,"{'compose', 'indite', 'frame', 'write', 'pen', 'compile'}",is:0:composed of,title:0:compound:1:asymmetric:0:unit,cadmium:0:cation,2,10.1107/S0108270107027862,"conjugated with: is, postfix: of"
cadmium ions,octahedral environment,is coordinated in,One of the cadmium ions is coordinated in an octahedral environment whereas the second is surrounded by seven O atoms in a pentagonal ndash bipyramidal geometry,8,1,1,22,4,coordinate,94,"{'organize', 'coordinate', 'organise', 'align', 'ordinate'}",is:0:coordinated in,cadmium:0:ion,octahedral:0:environment,1,10.1107/S0108270107027862,"conjugated with: is, postfix: in"
octahedral environment,O atoms,is surrounded by,One of the cadmium ions is coordinated in an octahedral environment whereas the second is surrounded by seven O atoms in a pentagonal ndash bipyramidal geometry,9,5,28,43,7,surround,9,"{'circle', 'palisade', 'skirt', 'wall', 'fence', 'environ', 'ring', 'border', 'circumvent', 'encircle', 'round', 'besiege', 'beleaguer', 'surround', 'smother'}",is:0:surrounded by,octahedral:0:environment,o:0:atom,1,10.1107/S0108270107027862,"conjugated with: is, postfix: by"
octahedral environment,seven O atoms,is surrounded by,One of the cadmium ions is coordinated in an octahedral environment whereas the second is surrounded by seven O atoms in a pentagonal ndash bipyramidal geometry,9,5,1,37,6,surround,9,"{'circle', 'palisade', 'skirt', 'wall', 'fence', 'environ', 'ring', 'border', 'circumvent', 'encircle', 'round', 'besiege', 'beleaguer', 'surround', 'smother'}",is:0:surrounded by,octahedral:0:environment,seven:1:o:0:atom,2,10.1107/S0108270107027862,"conjugated with: is, postfix: by"
coordination polyhedra,polymeric chains,form,Both types of coordination polyhedra form two sets of perpendicular nonintersecting polymeric chains,31,1,7,48,6,form,139,"{'forge', 'organize', 'form', 'mold', 'shape', 'constitute', 'imprint', 'organise', 'mould', 'spring'}",form,coordination:0:polyhedron,polymeric:0:chain,1,10.1107/S0108270107027862,
OH groups,stabilization of the structure,contributes to,An extensive hydrogenbond pattern involving all of the OH groups contributes to the stabilization of the structure,2,2,1,20,3,contribute,8,"{'bestow', 'conduce', 'lead', 'add', 'impart', 'lend', 'contribute', 'bring'}",contributes to,oh:0:group,structure:0:stabilization,1,10.1107/S2053229615014862,postfix: to
ZnII cation,N atom,is built up,The tetrahedral ZnO3N coordination about the ZnII cation is built up by the N atom of the pyridine ring an O atom of the carbonyl group of the isonicotinamide ligand and two O atoms of two dichlorobenzoate ligands,3,1,10,20,5,build,15,"{'build', 'establish', 'construct', 'progress'}",is:0:built up,znii:0:cation,n:0:atom,1,10.1107/S2053229615014862,"conjugated with: is, postfix: up"
tetrahedral ZnO3N coordination about the ZnII cation,N atom of the pyridine ring,is built up,The tetrahedral ZnO3N coordination about the ZnII cation is built up by the N atom of the pyridine ring an O atom of the carbonyl group of the isonicotinamide ligand and two O atoms of two dichlorobenzoate ligands,3,1,1,20,5,build,15,"{'build', 'establish', 'construct', 'progress'}",is:0:built up,znii:0:cation:1:tetrahedral:0:coordination,pyridine:0:ring:1:n:0:atom,2,10.1107/S2053229615014862,"conjugated with: is, postfix: up"
octahedral coordination,water molecules,made up,The Na cation has a distorted octahedral coordination made up of two ciscoordinated water molecules and the O atoms of four carboxyl groups belonging to four different dianions the water molecule acts as a bridge between two Na ions related by an inversion center,3,2,16,31,5,make,92,"{'create', 'stimulate', 'draw', 'produce', 'induce', 'make', 'do', 'cause'}",made up,octahedral:0:coordination,water:0:molecule,1,10.1107/S1600536813034089,postfix: up
different dianions,inversion center,acts as,The Na cation has a distorted octahedral coordination made up of two ciscoordinated water molecules and the O atoms of four carboxyl groups belonging to four different dianions the water molecule acts as a bridge between two Na ions related by an inversion center,1,1,13,71,14,act,3,"{'pretend', 'work', 'move', 'behave', 'play', 'dissemble', 'do', 'act'}",acts as,different:0:dianion,inversion:0:center,1,10.1107/S1600536813034089,postfix: as
distorted octahedral coordination,water molecules,made up,The Na cation has a distorted octahedral coordination made up of two ciscoordinated water molecules and the O atoms of four carboxyl groups belonging to four different dianions the water molecule acts as a bridge between two Na ions related by an inversion center,3,1,16,31,5,make,92,"{'create', 'stimulate', 'draw', 'produce', 'induce', 'make', 'do', 'cause'}",made up,distort:1:octahedral:0:coordination,water:0:molecule,2,10.1107/S1600536813034089,postfix: up
title compound,different anions,is characterized by,The structure of the title compound is characterized by the presence of two different anions PO43 minus  and P2O74 minus  with an eclipsed conformation,14,304,1,41,7,characterize,23,"{'characterise', 'qualify', 'characterize'}",is:0:characterized by,title:0:compound,different:0:anion,1,10.1107/S1600536813034089,"conjugated with: is, postfix: by"
structure of the title compound,presence of two different anions,is characterized by,The structure of the title compound is characterized by the presence of two different anions PO43 minus  and P2O74 minus  with an eclipsed conformation,14,7,1,25,4,characterize,23,"{'characterise', 'qualify', 'characterize'}",is:0:characterized by,title:0:compound:1:structure,different:0:anion:1:presence,2,10.1107/S1600536813034089,"conjugated with: is, postfix: by"
Adjacent chains,edges and apices,are connected through,Adjacent chains are connected through edges and apices to PO4 and P2O7 groups in such a way as to build a threedimensional host lattice,1,1,1,23,3,connect,56,"{'join', 'colligate', 'connect', 'tie', 'associate', 'link', 'unite', 'relate'}",are:0:connected through,adjacent:0:chain,apex:0:edge,1,10.1107/S1600536813034089,"conjugated with: are, postfix: through"
edges and apices,host lattice,to build,Adjacent chains are connected through edges and apices to PO4 and P2O7 groups in such a way as to build a threedimensional host lattice,6,1,1,69,14,build,15,"{'build', 'establish', 'construct', 'progress'}",to build,apex:0:edge,host:0:lattice,1,10.1107/S1600536813034089,prefix: to
new phosphate,structural type,represents,The crystal structure of this new phosphate probably represents a new structural type,7,1,1,27,4,represent,14,"{'defend', 'comprise', 'correspond', 'represent', 'symbolize', 'be', 'typify', 'constitute', 'interpret', 'exemplify', 'symbolise'}",represents,new:0:phosphate,structural:0:type,1,10.1107/S0108270108006975,
crystal structure of this new phosphate,new structural type,represents,The crystal structure of this new phosphate probably represents a new structural type,7,1,1,23,3,represent,14,"{'defend', 'comprise', 'correspond', 'represent', 'symbolize', 'be', 'typify', 'constitute', 'interpret', 'exemplify', 'symbolise'}",represents,new:0:phosphate:1:crystal:0:structure,new:1:structural:0:type,2,10.1107/S0108270108006975,
Hydrophilic regions,mdash H,are generated by,Hydrophilic regions are generated by O mdash H,12,2,128,20,4,generate,46,"{'engender', 'yield', 'sire', 'father', 'beget', 'render', 'generate', 'mother'}",are:0:generated by,hydrophilic:0:region,mdash:0:h,1,10.1107/S0108270108006975,"conjugated with: are, postfix: by"
Hydrophilic regions,O mdash H,are generated by,Hydrophilic regions are generated by O mdash H,12,2,51,18,3,generate,46,"{'engender', 'yield', 'sire', 'father', 'beget', 'render', 'generate', 'mother'}",are:0:generated by,hydrophilic:0:region,o:1:mdash:0:h,2,10.1107/S0108270108006975,"conjugated with: are, postfix: by"
sulfonated derivative,enhanced solubility,offers,As a salt of the sulfonated derivative of naturally occurring tectochrysin 5hydroxy7methoxyflavone this compound offers enhanced solubility and potential biological activity over the natural product,4,1,1,82,8,offer,6,"{'tender', 'offer', 'volunteer', 'bid', 'extend', 'proffer'}",offers,sulfonated:0:derivative,enhance:0:solubility,1,10.1107/S1600536802019001,
Neighboring molecules,ndash  pi  ,interact through,Neighboring molecules interact through  pi  ndash  pi  contacts forming a supramolecular structure,10,3,3,23,3,interact,25,{'interact'},interact through,neighboring:0:molecule,pi:0:ndash,1,10.1107/S1600536806050306,postfix: through
ndash  pi  ,supramolecular structure,forming,Neighboring molecules interact through  pi  ndash  pi  contacts forming a supramolecular structure,28,1,7,19,3,form,139,"{'forge', 'organize', 'form', 'mold', 'shape', 'constitute', 'imprint', 'organise', 'mould', 'spring'}",forming,pi:0:ndash,supramolecular:0:structure,1,10.1107/S1600536806050306,
Neighboring molecules,pi  ndash  pi  ,interact through,Neighboring molecules interact through  pi  ndash  pi  contacts forming a supramolecular structure,10,3,6,19,2,interact,25,{'interact'},interact through,neighboring:0:molecule,pi:1:pi:0:ndash,2,10.1107/S1600536806050306,postfix: through
pi  ndash  pi  ,supramolecular structure,forming,Neighboring molecules interact through  pi  ndash  pi  contacts forming a supramolecular structure,28,3,7,19,3,form,139,"{'forge', 'organize', 'form', 'mold', 'shape', 'constitute', 'imprint', 'organise', 'mould', 'spring'}",forming,pi:1:pi:0:ndash,supramolecular:0:structure,2,10.1107/S1600536806050306,
Neighboring molecules,pi  ndash  pi  contacts,interact through,Neighboring molecules interact through  pi  ndash  pi  contacts forming a supramolecular structure,10,3,1,19,2,interact,25,{'interact'},interact through,neighboring:0:molecule,contact:2:pi:1:pi:0:ndash,3,10.1107/S1600536806050306,postfix: through
pi  ndash  pi  contacts,supramolecular structure,forming,Neighboring molecules interact through  pi  ndash  pi  contacts forming a supramolecular structure,28,1,7,11,2,form,139,"{'forge', 'organize', 'form', 'mold', 'shape', 'constitute', 'imprint', 'organise', 'mould', 'spring'}",forming,contact:2:pi:1:pi:0:ndash,supramolecular:0:structure,3,10.1107/S1600536806050306,
inversion center,octahedral coordination,has,In the title compound hexaaquanickelII dinitrate ndash bispyrimidin2ylsulfanylmethane 12 NiH2O6NO32 middot 2C9H8N4S2 the NiII ion located on an inversion center has a distorted octahedral coordination geometry,164,17,9,17,3,have,179,"{'feature', 'get', 'experience', 'let', 'have', 'receive', 'undergo', 'consume', 'give', 'hold', 'ingest', 'own', 'possess'}",has,inversion:0:center,octahedral:0:coordination,1,10.1107/S1600536806050306,
inversion center,octahedral coordination geometry,has,In the title compound hexaaquanickelII dinitrate ndash bispyrimidin2ylsulfanylmethane 12 NiH2O6NO32 middot 2C9H8N4S2 the NiII ion located on an inversion center has a distorted octahedral coordination geometry,164,17,6,17,3,have,179,"{'feature', 'get', 'experience', 'let', 'have', 'receive', 'undergo', 'consume', 'give', 'hold', 'ingest', 'own', 'possess'}",has,inversion:0:center,octahedral:0:coordination:1:geometry,2,10.1107/S1600536806050306,
inversion center,distorted octahedral coordination geometry,has,In the title compound hexaaquanickelII dinitrate ndash bispyrimidin2ylsulfanylmethane 12 NiH2O6NO32 middot 2C9H8N4S2 the NiII ion located on an inversion center has a distorted octahedral coordination geometry,164,17,5,7,2,have,179,"{'feature', 'get', 'experience', 'let', 'have', 'receive', 'undergo', 'consume', 'give', 'hold', 'ingest', 'own', 'possess'}",has,inversion:0:center,distort:2:octahedral:0:coordination:1:geometry,3,10.1107/S1600536806050306,
title compound,centrosymmetric polyvanadate,contains,The title compound C2H8N2C8H20N2H2V10O28 contains two crystallographically independent centrosymmetric polyvanadate clusters each with a composition V10O28H24 minus  with the H atoms attached to  mu 2O atoms,105,304,1,69,5,contain,134,"{'arrest', 'stop', 'comprise', 'curb', 'moderate', 'bear', 'check', 'incorporate', 'control', 'contain', 'carry', 'hold'}",contains,title:0:compound,centrosymmetric:0:polyvanadate,1,10.1107/S1600536807004758,
title compound,centrosymmetric polyvanadate clusters,contains,The title compound C2H8N2C8H20N2H2V10O28 contains two crystallographically independent centrosymmetric polyvanadate clusters each with a composition V10O28H24 minus  with the H atoms attached to  mu 2O atoms,105,304,1,69,5,contain,134,"{'arrest', 'stop', 'comprise', 'curb', 'moderate', 'bear', 'check', 'incorporate', 'control', 'contain', 'carry', 'hold'}",contains,title:0:compound,centrosymmetric:0:polyvanadate:1:cluster,2,10.1107/S1600536807004758,
title compound,crystallographically independent centrosymmetric polyvanadate clusters,contains,The title compound C2H8N2C8H20N2H2V10O28 contains two crystallographically independent centrosymmetric polyvanadate clusters each with a composition V10O28H24 minus  with the H atoms attached to  mu 2O atoms,105,304,1,36,3,contain,134,"{'arrest', 'stop', 'comprise', 'curb', 'moderate', 'bear', 'check', 'incorporate', 'control', 'contain', 'carry', 'hold'}",contains,title:0:compound,crystallographically:0:independent:2:centrosymmetric:0:polyvanadate:1:cluster,3,10.1107/S1600536807004758,
imidazole ring,dihedral angles,makes,In the title compound C18H17FN2O the imidazole ring makes dihedral angles of 6881 emsp14 6 and 2520 emsp14 8 deg  with the methoxyphenyl and fluorophenyl rings respectively,31,2,19,7,1,make,92,"{'create', 'stimulate', 'draw', 'produce', 'induce', 'make', 'do', 'cause'}",makes,imidazole:0:ring,dihedral:0:angle,1,10.1107/S1600536813032492,
CoII ion,inversion centre,lies on,In the title compound CoC10H7NO22H2O2 the CoII ion lies on an inversion centre,26,3,12,12,3,lie,58,"{'lie', 'rest', 'dwell', 'consist', 'belong'}",lies on,coii:0:ion,inversion:0:centre,1,10.1107/S1600536807004126,postfix: on
octahedral geometry,water molecules,is coordinated by,It has a distorted octahedral geometry and is coordinated by two NObidentate 5phenyl1Hpyrazole3carboxylate ligands and two water molecules,78,1,16,85,10,coordinate,94,"{'organize', 'coordinate', 'organise', 'align', 'ordinate'}",is:0:coordinated by,octahedral:0:geometry,water:0:molecule,1,10.1107/S1600536807004126,"conjugated with: is, postfix: by"
title compound,spiro links,has,The title compound C34H38ClN5O2 has spiro links connecting the pyrrolidine ring and indole residue as well as the piperidine and pyrrolidine rings,164,304,1,18,2,have,179,"{'feature', 'get', 'experience', 'let', 'have', 'receive', 'undergo', 'consume', 'give', 'hold', 'ingest', 'own', 'possess'}",has,title:0:compound,spiro:0:link,1,10.1107/S1600536813033771,
title compound,inversion symmetry,has,In the title compound 2C11H18N middot 2PF6 minus  middot C12H24O6 the 18crown6 molecule has crystallographically imposed inversion symmetry,164,304,5,100,12,have,179,"{'feature', 'get', 'experience', 'let', 'have', 'receive', 'undergo', 'consume', 'give', 'hold', 'ingest', 'own', 'possess'}",has,title:0:compound,inversion:0:symmetry,1,10.1107/S1600536813033734,
title compound,inversion symmetry,imposed,In the title compound 2C11H18N middot 2PF6 minus  middot C12H24O6 the 18crown6 molecule has crystallographically imposed inversion symmetry,3,304,5,100,12,impose,7,"{'inflict', 'visit', 'enforce', 'levy', 'impose'}",imposed,title:0:compound,inversion:0:symmetry,1,10.1107/S1600536813033734,
cations and anions,mdash H,linked via,The cations and anions are further linked via N mdash H,15,14,128,26,5,link,178,"{'join', 'colligate', 'connect', 'tie', 'associate', 'link', 'unite', 'relate', 'yoke'}",linked via,anion:0:cation,mdash:0:h,1,10.1107/S1600536813033734,postfix: via
cations and anions,N mdash H,linked via,The cations and anions are further linked via N mdash H,15,14,50,24,4,link,178,"{'join', 'colligate', 'connect', 'tie', 'associate', 'link', 'unite', 'relate', 'yoke'}",linked via,anion:0:cation,n:1:mdash:0:h,2,10.1107/S1600536813033734,postfix: via
abnormal vision,alternative splicing,has been implicated in,Human embryonically lethal abnormal vision ELAVtype RNAbinding protein 3 ETR3 has been implicated in many aspects of RNAprocessing events including alternative splicing stability editing and translation,4,1,2,106,15,implicate,4,"{'implicate', 'entail'}",has been:0:implicated in,abnormal:0:vision,alternative:0:splice,1,10.1107/S1744309113023439,"conjugated with: has been, postfix: in"
embryonically lethal abnormal vision,alternative splicing,has been implicated in,Human embryonically lethal abnormal vision ELAVtype RNAbinding protein 3 ETR3 has been implicated in many aspects of RNAprocessing events including alternative splicing stability editing and translation,4,1,2,106,15,implicate,4,"{'implicate', 'entail'}",has been:0:implicated in,embryonically:0:lethal:1:abnormal:0:vision,alternative:0:splice,2,10.1107/S1744309113023439,"conjugated with: has been, postfix: in"
home source,space group,belonged to,The crystals diffracted to 3 emsp14  Aring  resolution at the home source and belonged to space group P213 with unitcell parameters a  b  c  1185 emsp14  Aring   alpha    beta    gamma   90 deg ,14,1,26,17,3,belong,23,"{'dwell', 'consist', 'lie', 'belong'}",belonged to,home:0:source,space:0:group,1,10.1107/S1744309113023439,postfix: to
