subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,root,root freq,synonyms,pred term,sub term,obj term,level,doc ID
higher dimensions,modified version of the cut and projection method,solved,The problem of finding the points of best fit between pairs of lattices is formulated in higher dimensions and solved using a modified version of the cut and projection method,9,4,2,20,4,solve,31,"{'resolve', 'solve', 'lick'}",solved,high:0:dimension,projection:0:cut:1:method:2:modify:0:version,3,10.1107/S010876739700737X
higher dimensions,modified version of the cut and projection method,using,The problem of finding the points of best fit between pairs of lattices is formulated in higher dimensions and solved using a modified version of the cut and projection method,217,4,2,20,4,use,321,"{'utilise', 'use', 'apply', 'employ', 'habituate', 'utilize', 'practice', 'expend'}",using,high:0:dimension,projection:0:cut:1:method:2:modify:0:version,3,10.1107/S010876739700737X
metal atom,O atom,involves,The coordination environment of each metal atom involves the NOO atoms of the tridentate ligand one bridging O atom of the ligand and the N atom of the thiocyanato ligands,20,2,9,16,3,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",involves,metal:0:atom,o:0:atom,1,10.1107/S2056989015015601
coordination environment of each metal atom,atoms of the tridentate ligand,involves,The coordination environment of each metal atom involves the NOO atoms of the tridentate ligand one bridging O atom of the ligand and the N atom of the thiocyanato ligands,20,2,1,18,3,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",involves,metal:0:atom:1:coordination:0:environment,tridentate:0:ligand:1:atom,2,10.1107/S2056989015015601
coordination environment of each metal atom,O atoms of the tridentate ligand,involves,The coordination environment of each metal atom involves the NOO atoms of the tridentate ligand one bridging O atom of the ligand and the N atom of the thiocyanato ligands,20,2,1,16,3,involve,69,"{'need', 'affect', 'imply', 'ask', 'take', 'require', 'postulate', 'involve', 'necessitate', 'regard', 'demand'}",involves,metal:0:atom:1:coordination:0:environment,o:2:tridentate:0:ligand:1:atom,3,10.1107/S2056989015015601
The CuII ion,CrIII ion,adopts,The CuII ion adopts a distorted squarepyramidal coordination while the CrIII ion has a distorted octahedral coordination geometry completed by the aqua ligand,50,2,1,59,7,adopt,67,"{'borrow', 'espouse', 'follow', 'dramatise', 'dramatize', 'acquire', 'embrace', 'take', 'adopt', 'assume'}",adopts,cuii:0:ion,criii:0:ion,1,10.1107/S2056989015015601
CrIII ion,octahedral coordination,has,The CuII ion adopts a distorted squarepyramidal coordination while the CrIII ion has a distorted octahedral coordination geometry completed by the aqua ligand,165,3,9,17,3,have,175,"{'feature', 'have', 'possess', 'consume', 'undergo', 'ingest', 'get', 'give', 'experience', 'hold', 'let', 'receive', 'own'}",has,criii:0:ion,octahedral:0:coordination,1,10.1107/S2056989015015601
CrIII ion,octahedral coordination geometry,has,The CuII ion adopts a distorted squarepyramidal coordination while the CrIII ion has a distorted octahedral coordination geometry completed by the aqua ligand,165,3,6,17,3,have,175,"{'feature', 'have', 'possess', 'consume', 'undergo', 'ingest', 'get', 'give', 'experience', 'hold', 'let', 'receive', 'own'}",has,criii:0:ion,octahedral:0:coordination:1:geometry,2,10.1107/S2056989015015601
CrIII ion,distorted octahedral coordination geometry,has,The CuII ion adopts a distorted squarepyramidal coordination while the CrIII ion has a distorted octahedral coordination geometry completed by the aqua ligand,165,3,5,7,2,have,175,"{'feature', 'have', 'possess', 'consume', 'undergo', 'ingest', 'get', 'give', 'experience', 'hold', 'let', 'receive', 'own'}",has,criii:0:ion,distort:2:octahedral:0:coordination:1:geometry,3,10.1107/S2056989015015601
binuclear complexes,mdash H,are linked via,In the crystal the binuclear complexes are linked via two pairs of O mdash H,15,3,128,31,7,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked via,binuclear:0:complex,mdash:0:h,1,10.1107/S2056989015015601
binuclear complexes,O mdash H,are linked via,In the crystal the binuclear complexes are linked via two pairs of O mdash H,15,3,51,29,6,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked via,binuclear:0:complex,o:1:mdash:0:h,2,10.1107/S2056989015015601
binuclear complexes,two pairs of O mdash H,are linked via,In the crystal the binuclear complexes are linked via two pairs of O mdash H,15,3,1,16,3,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",are:0:linked via,binuclear:0:complex,o:1:mdash:0:h:2:pair,3,10.1107/S2056989015015601
methyl group,equal occupancies,were refined as,ligand two  ndash CH2 groups and the methyl group were refined as disordered over two sets of sites with equal occupancies,3,3,2,56,10,refine,20,"{'rectify', 'complicate', 'fine-tune', 'refine', 'elaborate', 'polish', 'down', 'rarify'}",were:0:refined as,methyl:0:group,equal:0:occupancy,1,10.1107/S2056989015015601
methyl group,equal occupancies,disordered over,ligand two  ndash CH2 groups and the methyl group were refined as disordered over two sets of sites with equal occupancies,16,3,2,56,10,disorder,32,"{'disquiet', 'distract', 'trouble', 'disorder', 'perturb', 'cark', 'disarray', 'unhinge'}",disordered over,methyl:0:group,equal:0:occupancy,1,10.1107/S2056989015015601
ligand two  ndash CH2 groups and the methyl group,sites with equal occupancies,were refined as,ligand two  ndash CH2 groups and the methyl group were refined as disordered over two sets of sites with equal occupancies,3,4,2,45,8,refine,20,"{'rectify', 'complicate', 'fine-tune', 'refine', 'elaborate', 'polish', 'down', 'rarify'}",were:0:refined as,methyl:0:group:1:ligand:1:ndash:0:group,equal:0:occupancy:1:site,2,10.1107/S2056989015015601
ligand two  ndash CH2 groups and the methyl group,sites with equal occupancies,disordered over,ligand two  ndash CH2 groups and the methyl group were refined as disordered over two sets of sites with equal occupancies,16,4,2,45,8,disorder,32,"{'disquiet', 'distract', 'trouble', 'disorder', 'perturb', 'cark', 'disarray', 'unhinge'}",disordered over,methyl:0:group:1:ligand:1:ndash:0:group,equal:0:occupancy:1:site,2,10.1107/S2056989015015601
ligand two  ndash CH2 groups and the methyl group,two sets of sites with equal occupancies,were refined as,ligand two  ndash CH2 groups and the methyl group were refined as disordered over two sets of sites with equal occupancies,3,4,2,33,5,refine,20,"{'rectify', 'complicate', 'fine-tune', 'refine', 'elaborate', 'polish', 'down', 'rarify'}",were:0:refined as,methyl:0:group:1:ligand:1:ndash:0:group,equal:0:occupancy:1:site:2:set,3,10.1107/S2056989015015601
ligand two  ndash CH2 groups and the methyl group,two sets of sites with equal occupancies,disordered over,ligand two  ndash CH2 groups and the methyl group were refined as disordered over two sets of sites with equal occupancies,16,4,2,33,5,disorder,32,"{'disquiet', 'distract', 'trouble', 'disorder', 'perturb', 'cark', 'disarray', 'unhinge'}",disordered over,methyl:0:group:1:ligand:1:ndash:0:group,equal:0:occupancy:1:site:2:set,3,10.1107/S2056989015015601
crystal structures,trigonal bipyramids,consist of,The crystal structures consist of onedimensional edgesharing chains of MBr5 trigonal bipyramids between which triethylcholine countercations are intercalated,4,6,1,54,7,consist,68,"{'belong', 'dwell', 'consist', 'comprise', 'lie'}",consist of,crystal:0:structure,trigonal:0:bipyramid,1,10.1107/S2053229615013303
Desulfovibrio africanus,crystals forms,solved with,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit,4,2,1,31,6,solve,31,"{'resolve', 'solve', 'lick'}",solved with,desulfovibrio:0:africanu,crystal:0:form,1,10.1107/S0907444999008410
crystals forms,asymmetric unit,containing,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit,3,1,22,34,5,contain,134,"{'contain', 'stop', 'bear', 'arrest', 'control', 'curb', 'comprise', 'incorporate', 'check', 'moderate', 'hold', 'carry'}",containing,crystal:0:form,asymmetric:0:unit,1,10.1107/S0907444999008410
Desulfovibrio africanus,data from two crystals forms,solved with,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit,4,2,2,17,3,solve,31,"{'resolve', 'solve', 'lick'}",solved with,desulfovibrio:0:africanu,crystal:0:form:1:datum,2,10.1107/S0907444999008410
data from two crystals forms,two monomers per asymmetric unit,containing,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit,3,1,1,17,2,contain,134,"{'contain', 'stop', 'bear', 'arrest', 'control', 'curb', 'comprise', 'incorporate', 'check', 'moderate', 'hold', 'carry'}",containing,crystal:0:form:1:datum,asymmetric:0:unit:1:monomer,2,10.1107/S0907444999008410
structure of the homodimeric 267 emsp14 kDa pyruvate,data from two crystals forms,solved with,The structure of the homodimeric 267 emsp14 kDa pyruvateferredoxin oxidoreductase PFOR of Desulfovibrio africanus was solved with data from two crystals forms both containing two monomers per asymmetric unit,4,1,2,74,9,solve,31,"{'resolve', 'solve', 'lick'}",solved with,homodimeric:1:kda:0:pyruvate:2:structure,crystal:0:form:1:datum,3,10.1107/S0907444999008410
molecular replacement,search model,using,Phases were obtained from multiwavelength anomalous dispersion MAD solvent flattening SF molecular replacement MR using a 5 emsp14  Aring  resolution electrondensity search model multiple isomorphous replacement MIR and finally electrondensity averaging DA procedures,217,8,2,56,8,use,321,"{'utilise', 'use', 'apply', 'employ', 'habituate', 'utilize', 'practice', 'expend'}",using,molecular:0:replacement,search:0:model,1,10.1107/S0907444999008410
multiwavelength anomalous dispersion,search model,using,Phases were obtained from multiwavelength anomalous dispersion MAD solvent flattening SF molecular replacement MR using a 5 emsp14  Aring  resolution electrondensity search model multiple isomorphous replacement MIR and finally electrondensity averaging DA procedures,217,1,2,104,14,use,321,"{'utilise', 'use', 'apply', 'employ', 'habituate', 'utilize', 'practice', 'expend'}",using,multiwavelength:1:anomalous:0:dispersion,search:0:model,2,10.1107/S0907444999008410
combination of all these techniques,MAD data,used to,It is shown how the combination of all these techniques was used to overcome problems arising from incompleteness of MAD data and weak phasing power of MIR data,59,2,1,62,9,use,321,"{'utilise', 'use', 'apply', 'employ', 'habituate', 'utilize', 'practice', 'expend'}",used to,technique:0:combination,mad:0:datum,1,10.1107/S0907444999008410
combination of all these techniques,MAD data and weak phasing power,used to,It is shown how the combination of all these techniques was used to overcome problems arising from incompleteness of MAD data and weak phasing power of MIR data,59,2,1,62,9,use,321,"{'utilise', 'use', 'apply', 'employ', 'habituate', 'utilize', 'practice', 'expend'}",used to,technique:0:combination,weak:1:phase:0:power:2:mad:0:datum,3,10.1107/S0907444999008410
MR solutions,protein envelopes,obtain,A realspace refinement RSR procedure is described to improve MR solutions and obtain very accurate protein envelopes and noncrystallographic symmetry NCS transformations from 5 emsp14  Aring  resolution phase information,14,2,1,26,4,obtain,84,"{'prevail', 'obtain', 'get', 'incur', 'receive'}",obtain,mr:0:solution,protein:0:envelope,1,10.1107/S0907444999008410
MR solutions,very accurate protein envelopes,obtain,A realspace refinement RSR procedure is described to improve MR solutions and obtain very accurate protein envelopes and noncrystallographic symmetry NCS transformations from 5 emsp14  Aring  resolution phase information,14,2,1,12,2,obtain,84,"{'prevail', 'obtain', 'get', 'incur', 'receive'}",obtain,mr:0:solution,accurate:1:protein:0:envelope,2,10.1107/S0907444999008410
Bayesian methods,estimated phases,attached to,With the rise of Bayesian methods in crystallography the error estimates attached to estimated phases are becoming as important as the phase estimates themselves,3,1,3,52,7,attach,3,"{'seize', 'impound', 'sequester', 'attach', 'tie', 'confiscate', 'bind', 'bond'}",attached to,bayesian:0:method,estimate:0:phasis,1,10.1107/S0907444999007416
Bayesian methods in crystallography,estimated phases,attached to,With the rise of Bayesian methods in crystallography the error estimates attached to estimated phases are becoming as important as the phase estimates themselves,3,1,3,33,5,attach,3,"{'seize', 'impound', 'sequester', 'attach', 'tie', 'confiscate', 'bind', 'bond'}",attached to,crystallography:1:bayesian:0:method,estimate:0:phasis,2,10.1107/S0907444999007416
rise of Bayesian methods in crystallography,estimated phases,attached to,With the rise of Bayesian methods in crystallography the error estimates attached to estimated phases are becoming as important as the phase estimates themselves,3,1,3,33,5,attach,3,"{'seize', 'impound', 'sequester', 'attach', 'tie', 'confiscate', 'bind', 'bond'}",attached to,crystallography:1:bayesian:0:method:2:rise,estimate:0:phasis,3,10.1107/S0907444999007416
density modification,problems in this environment,cause,Phase improvement by density modification can cause problems in this environment because the quality of the resulting phases is usually overestimated,4,1,2,11,2,cause,14,"{'do', 'make', 'induce', 'cause', 'stimulate'}",cause,density:0:modification,environment:0:problem,1,10.1107/S0907444999007416
problems in this environment,resulting phases,cause,Phase improvement by density modification can cause problems in this environment because the quality of the resulting phases is usually overestimated,4,2,1,28,5,cause,14,"{'do', 'make', 'induce', 'cause', 'stimulate'}",cause,environment:0:problem,result:0:phasis,1,10.1107/S0907444999007416
Phase improvement by density modification,problems in this environment,cause,Phase improvement by density modification can cause problems in this environment because the quality of the resulting phases is usually overestimated,4,1,2,11,2,cause,14,"{'do', 'make', 'induce', 'cause', 'stimulate'}",cause,density:0:modification:1:phase:0:improvement,environment:0:problem,2,10.1107/S0907444999007416
problems in this environment,quality of the resulting phases,cause,Phase improvement by density modification can cause problems in this environment because the quality of the resulting phases is usually overestimated,4,2,1,13,2,cause,14,"{'do', 'make', 'induce', 'cause', 'stimulate'}",cause,environment:0:problem,result:0:phasis:1:quality,2,10.1107/S0907444999007416
initial map,resulting procedure,is investigated in,The degree to which the improved phases are biased by the features of the initial map is investigated in order to determine the limits of the resulting procedure and the quality of the phaseerror estimates,3,1,1,57,10,investigate,33,"{'enquire', 'inquire', 'investigate'}",is:0:investigated in,initial:0:map,result:0:procedure,1,10.1107/S0907444999007416
features of the initial map,limits of the resulting procedure,is investigated in,The degree to which the improved phases are biased by the features of the initial map is investigated in order to determine the limits of the resulting procedure and the quality of the phaseerror estimates,3,1,1,43,7,investigate,33,"{'enquire', 'inquire', 'investigate'}",is:0:investigated in,initial:0:map:1:feature,result:0:procedure:1:limit,2,10.1107/S0907444999007416
mdash C,nonchelating diimines,found in,Delocalization in the diimine core is indicated by N mdash C and C mdash C bonds that are respectively longer and shorter than those found in related nonchelating diimines,18,2,1,90,16,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",found in,mdash:0:c,nonchelating:0:diimine,1,10.1107/S2056989015014851
mdash C,related nonchelating diimines,found in,Delocalization in the diimine core is indicated by N mdash C and C mdash C bonds that are respectively longer and shorter than those found in related nonchelating diimines,18,2,1,82,15,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",found in,mdash:0:c,relate:1:nonchelating:0:diimine,2,10.1107/S2056989015014851
PdII atom,bond angles,is manifested as,The distorted squareplanar coordination environment around the PdII atom is manifested as bond angles that are smaller and larger than 90 deg  and palladacycle torsion angles of  minus 17322 emsp14 16 and 16706 emsp14 16,2,3,1,18,3,manifest,2,"{'evidence', 'manifest', 'certify', 'attest', 'demonstrate'}",is:0:manifested as,pdii:0:atom,bond:0:angle,1,10.1107/S2056989015014851
PdII atom,bond angles that are smaller and larger than 90 deg,is manifested as,The distorted squareplanar coordination environment around the PdII atom is manifested as bond angles that are smaller and larger than 90 deg  and palladacycle torsion angles of  minus 17322 emsp14 16 and 16706 emsp14 16,2,3,1,18,3,manifest,2,"{'evidence', 'manifest', 'certify', 'attest', 'demonstrate'}",is:0:manifested as,pdii:0:atom,large:0:small:1:deg:2:bond:0:angle,3,10.1107/S2056989015014851
selenomethionyl derivatives,sequence assignment,permits,Genetic introduction of methionine point mutations and the subsequent preparation and crystallization of selenomethionyl derivatives permits unambiguous sequence assignment by enabling the placement of the anomalous scatterers Se atoms thus introduced,3,1,1,21,2,permit,3,"{'permit', 'countenance', 'let', 'tolerate', 'allow'}",permits,selenomethionyl:0:derivative,sequence:0:assignment,1,10.1107/S2059798315021580
sequence assignment,anomalous scatterers,enabling,Genetic introduction of methionine point mutations and the subsequent preparation and crystallization of selenomethionyl derivatives permits unambiguous sequence assignment by enabling the placement of the anomalous scatterers Se atoms thus introduced,6,1,1,34,6,enable,8,{'enable'},enabling,sequence:0:assignment,anomalous:0:scatterer,1,10.1107/S2059798315021580
subsequent preparation and crystallization of selenomethionyl derivatives,unambiguous sequence assignment,permits,Genetic introduction of methionine point mutations and the subsequent preparation and crystallization of selenomethionyl derivatives permits unambiguous sequence assignment by enabling the placement of the anomalous scatterers Se atoms thus introduced,3,1,2,9,1,permit,3,"{'permit', 'countenance', 'let', 'tolerate', 'allow'}",permits,selenomethionyl:0:derivative:1:crystallization:0:subsequent:0:preparation,unambiguous:1:sequence:0:assignment,2,10.1107/S2059798315021580
unambiguous sequence assignment,placement of the anomalous scatterers,enabling,Genetic introduction of methionine point mutations and the subsequent preparation and crystallization of selenomethionyl derivatives permits unambiguous sequence assignment by enabling the placement of the anomalous scatterers Se atoms thus introduced,6,1,1,17,3,enable,8,{'enable'},enabling,unambiguous:1:sequence:0:assignment,anomalous:0:scatterer:1:placement,2,10.1107/S2059798315021580
Genetic introduction of methionine point mutations and the subsequent preparation and crystallization of selenomethionyl derivatives,unambiguous sequence assignment,permits,Genetic introduction of methionine point mutations and the subsequent preparation and crystallization of selenomethionyl derivatives permits unambiguous sequence assignment by enabling the placement of the anomalous scatterers Se atoms thus introduced,3,1,2,9,1,permit,3,"{'permit', 'countenance', 'let', 'tolerate', 'allow'}",permits,selenomethionyl:0:derivative:1:crystallization:0:subsequent:0:preparation:2:methionine:0:point:1:mutation:2:genetic:0:introduction,unambiguous:1:sequence:0:assignment,3,10.1107/S2059798315021580
binds cargo,recruits clathrin,destined for,AP2 binds cargo destined for internalization and recruits clathrin a large trimeric protein that helps to deform the membrane to produce the transport vesicle,2,2,1,34,4,destine,2,"{'doom', 'intend', 'specify', 'designate', 'destine', 'fate'}",destined for,bind:0:cargo,recruit:0:clathrin,1,10.1107/S2059798315021580
binds cargo,internalization and recruits clathrin,destined for,AP2 binds cargo destined for internalization and recruits clathrin a large trimeric protein that helps to deform the membrane to produce the transport vesicle,2,2,1,14,2,destine,2,"{'doom', 'intend', 'specify', 'designate', 'destine', 'fate'}",destined for,bind:0:cargo,recruit:0:clathrin:1:internalization,2,10.1107/S2059798315021580
point mutants,deep cleft,shown,By selenomethionine labelling of point mutants it was shown that the clathrinbinding site is buried within a deep cleft of the AP2 complex,17,2,2,63,11,show,150,"{'point', 'exhibit', 'reveal', 'demo', 'show', 'testify', 'indicate', 'establish', 'render', 'display', 'prove', 'shew', 'demonstrate', 'express', 'evince', 'evidence', 'present', 'picture', 'depict'}",shown,point:0:mutant,deep:0:cleave,1,10.1107/S2059798315021580
point mutants,deep cleft,is buried within,By selenomethionine labelling of point mutants it was shown that the clathrinbinding site is buried within a deep cleft of the AP2 complex,2,2,2,63,11,bury,2,"{'entomb', 'swallow', 'sink', 'immerse', 'bury', 'inhume', 'forget', 'inter'}",is:0:buried within,point:0:mutant,deep:0:cleave,1,10.1107/S2059798315021580
selenomethionine labelling of point mutants,deep cleft of the AP2 complex,shown,By selenomethionine labelling of point mutants it was shown that the clathrinbinding site is buried within a deep cleft of the AP2 complex,17,2,2,63,11,show,150,"{'point', 'exhibit', 'reveal', 'demo', 'show', 'testify', 'indicate', 'establish', 'render', 'display', 'prove', 'shew', 'demonstrate', 'express', 'evince', 'evidence', 'present', 'picture', 'depict'}",shown,point:0:mutant:1:selenomethionine:0:label,complex:1:deep:0:cleave,2,10.1107/S2059798315021580
selenomethionine labelling of point mutants,deep cleft of the AP2 complex,is buried within,By selenomethionine labelling of point mutants it was shown that the clathrinbinding site is buried within a deep cleft of the AP2 complex,2,2,2,63,11,bury,2,"{'entomb', 'swallow', 'sink', 'immerse', 'bury', 'inhume', 'forget', 'inter'}",is:0:buried within,point:0:mutant:1:selenomethionine:0:label,complex:1:deep:0:cleave,2,10.1107/S2059798315021580
conformational change,clathrin recruitment,releases,A membranestimulated conformational change in AP2 releases the clathrinbinding site from autoinhibition thereby linking clathrin recruitment to membrane localization,1,2,2,78,10,release,1,"{'resign', 'relinquish', 'liberate', 'unloose', 'unfreeze', 'release', 'issue', 'publish', 'eject', 'free', 'loose', 'discharge', 'secrete', 'expel', 'unblock', 'unloosen'}",releases,conformational:0:change,clathrin:0:recruitment,1,10.1107/S2059798315021580
conformational change,clathrin recruitment,linking,A membranestimulated conformational change in AP2 releases the clathrinbinding site from autoinhibition thereby linking clathrin recruitment to membrane localization,5,2,2,78,10,link,178,"{'yoke', 'join', 'tie', 'colligate', 'relate', 'associate', 'link', 'connect', 'unite'}",linking,conformational:0:change,clathrin:0:recruitment,1,10.1107/S2059798315021580
anomalous substructure,map quality,be found in,The phenixplansadexperiment tool uses a database of solved and unsolved SAD data sets and the expected characteristics of a SAD data set to estimate the probability that the anomalous substructure will be found in the SAD experiment and the expected map quality that would be obtained if the substructure were found,18,6,2,54,10,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",be:0:found in,anomalous:0:substructure,map:0:quality,1,10.1107/S2059798315019403
anomalous substructure,map quality,be found in,The phenixplansadexperiment tool uses a database of solved and unsolved SAD data sets and the expected characteristics of a SAD data set to estimate the probability that the anomalous substructure will be found in the SAD experiment and the expected map quality that would be obtained if the substructure were found,18,6,2,54,10,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",be:0:found in,anomalous:0:substructure,map:0:quality,1,10.1107/S2059798315019403
anomalous substructure,expected map quality,be found in,The phenixplansadexperiment tool uses a database of solved and unsolved SAD data sets and the expected characteristics of a SAD data set to estimate the probability that the anomalous substructure will be found in the SAD experiment and the expected map quality that would be obtained if the substructure were found,18,6,2,45,9,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",be:0:found in,anomalous:0:substructure,expect:1:map:0:quality,2,10.1107/S2059798315019403
anomalous substructure,expected map quality,be found in,The phenixplansadexperiment tool uses a database of solved and unsolved SAD data sets and the expected characteristics of a SAD data set to estimate the probability that the anomalous substructure will be found in the SAD experiment and the expected map quality that would be obtained if the substructure were found,18,6,2,45,9,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",be:0:found in,anomalous:0:substructure,expect:1:map:0:quality,2,10.1107/S2059798315019403
anomalous substructure,the expected map quality that would be obtained if the substructure were found,be found in,The phenixplansadexperiment tool uses a database of solved and unsolved SAD data sets and the expected characteristics of a SAD data set to estimate the probability that the anomalous substructure will be found in the SAD experiment and the expected map quality that would be obtained if the substructure were found,18,6,2,41,8,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",be:0:found in,anomalous:0:substructure,substructure:0:find:1:obtain:2:expect:1:map:0:quality,3,10.1107/S2059798315019403
anomalous substructure,the expected map quality that would be obtained if the substructure were found,be found in,The phenixplansadexperiment tool uses a database of solved and unsolved SAD data sets and the expected characteristics of a SAD data set to estimate the probability that the anomalous substructure will be found in the SAD experiment and the expected map quality that would be obtained if the substructure were found,18,6,2,41,8,found,54,"{'institute', 'plant', 'establish', 'base', 'found', 'constitute', 'launch'}",be:0:found in,anomalous:0:substructure,substructure:0:find:1:obtain:2:expect:1:map:0:quality,3,10.1107/S2059798315019403
local scaling,systematic differences,optimizes,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,2,2,2,55,8,optimize,5,"{'optimise', 'optimize'}",optimizes,local:0:scale,systematic:0:difference,1,10.1107/S2059798315019403
local scaling,systematic differences,identifying,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,2,2,2,55,8,identify,21,"{'distinguish', 'key', 'discover', 'name', 'describe', 'identify', 'place'}",identifying,local:0:scale,systematic:0:difference,1,10.1107/S2059798315019403
data set,likely figure,estimates,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,4,5,3,197,30,estimate,7,"{'figure', 'forecast', 'calculate', 'judge', 'estimate', 'guess', 'approximate', 'gauge', 'reckon'}",estimates,set:0:datum,likely:0:figure,1,10.1107/S2059798315019403
data set,likely figure,collecting,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,4,5,3,197,30,collect,34,"{'amass', 'garner', 'compile', 'accumulate', 'collect', 'gather', 'hoard'}",collecting,set:0:datum,likely:0:figure,1,10.1107/S2059798315019403
data set,likely figure,estimates,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,4,5,3,197,30,estimate,7,"{'figure', 'forecast', 'calculate', 'judge', 'estimate', 'guess', 'approximate', 'gauge', 'reckon'}",estimates,set:0:datum,likely:0:figure,1,10.1107/S2059798315019403
crystals using local scaling,systematic differences among data sets,optimizes,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,2,2,2,55,8,optimize,5,"{'optimise', 'optimize'}",optimizes,local:0:scale:1:crystal,datum:0:set:1:systematic:0:difference,2,10.1107/S2059798315019403
crystals using local scaling,systematic differences among data sets,identifying,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,2,2,2,55,8,identify,21,"{'distinguish', 'key', 'discover', 'name', 'describe', 'identify', 'place'}",identifying,local:0:scale:1:crystal,datum:0:set:1:systematic:0:difference,2,10.1107/S2059798315019403
systematic differences among data sets,likely figure of merit of phasing,estimates,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,4,3,3,196,29,estimate,7,"{'figure', 'forecast', 'calculate', 'judge', 'estimate', 'guess', 'approximate', 'gauge', 'reckon'}",estimates,datum:0:set:1:systematic:0:difference,phase:0:merit:1:likely:0:figure,2,10.1107/S2059798315019403
systematic differences among data sets,likely figure of merit of phasing,collecting,The phenixscaleandmerge tool scales unmerged SAD data from one or more crystals using local scaling and optimizes the anomalous signal by identifying the systematic differences among data sets and the phenixanomaloussignal tool estimates the useful anomalous correlation and anomalous signal after collecting SAD data and estimates the probability that the data set can be solved and the likely figure of merit of phasing,4,3,3,196,29,collect,34,"{'amass', 'garner', 'compile', 'accumulate', 'collect', 'gather', 'hoard'}",collecting,datum:0:set:1:systematic:0:difference,phase:0:merit:1:likely:0:figure,2,10.1107/S2059798315019403
